$cbo,$loc,$dam,$wmc,$dit,$ic,$amc,$moa,$<bug
65,2894,1.0,99,1,1,28.05050505,9,T
12,288,1.0,17,4,1,15.58823529,0,T
32,926,0.166666667,28,1,0,31.64285714,0,T
31,1167,1.0,55,1,0,19.94545455,6,T
7,420,1.0,23,1,0,16.95652174,2,T
27,87,1.0,6,1,1,13.16666667,0,T
3,136,0.8,5,1,0,25.2,0,T
31,1429,0.875,32,2,1,43.40625,1,T
11,564,1.0,35,4,3,14.65714286,0,T
41,810,1.0,65,1,0,11.26153846,5,T
19,178,0.5,9,2,1,18.55555556,1,T
10,432,0.0,4,1,0,107.0,0,T
13,47,1.0,9,1,0,3.888888889,2,T
3,34,1.0,5,1,0,5.6,0,T
20,1648,1.0,22,2,1,73.36363636,2,T
16,877,0.0,3,1,0,291.3333333,0,T
3,303,1.0,8,1,0,36.5,0,T
6,172,1.0,6,1,0,27.5,0,T
14,478,1.0,13,1,0,35.07692308,0,T
32,186,0.875,19,1,0,8.368421053,3,T
7,83,0.0,8,2,1,9.125,1,T
18,489,0.0,5,1,0,96.8,0,T
16,824,0.933333333,35,4,2,22.11428571,1,T
4,170,1.0,14,4,2,10.71428571,0,T
14,255,1.0,20,1,0,11.6,1,T
37,1515,0.875,38,2,1,38.65789474,1,T
43,11,0.0,11,1,0,0.0,0,T
12,99,1.0,8,2,1,11.25,1,T
11,103,1.0,12,1,0,7.083333333,2,T
26,1123,0.666666667,37,6,4,29.10810811,0,T
12,152,1.0,6,1,0,24.16666667,0,T
154,8095,0.97826087,205,1,0,38.26341463,7,T
5,84,1.0,6,1,0,12.5,2,T
10,936,0.0,7,1,0,132.7142857,0,T
29,669,1.0,18,4,3,36.05555556,1,T
16,255,1.0,14,3,0,17.07142857,0,T
10,431,0.222222222,16,1,0,25.375,0,T
42,164,1.0,11,1,1,13.72727273,1,T
8,124,1.0,12,4,0,8.916666667,0,T
7,166,1.0,11,2,0,13.90909091,1,T
13,531,1.0,34,4,2,14.17647059,0,T
14,107,1.0,11,1,0,8.272727273,0,T
10,182,1.0,10,1,0,17.0,1,T
7,108,1.0,8,1,0,11.875,0,T
12,242,0.75,9,2,1,25.44444444,3,T
21,1472,1.0,21,2,1,68.0952381,6,T
8,175,1.0,16,4,0,9.5,0,T
6,193,0.0,6,1,0,31.0,0,T
19,681,0.0,6,1,0,112.5,0,T
4,82,1.0,9,1,0,7.888888889,1,T
8,255,1.0,15,4,2,15.6,0,T
72,3982,0.954545455,82,1,0,47.29268293,4,T
6,229,0.0,5,1,0,44.8,0,T
33,211,0.375,15,1,0,12.53333333,1,T
5,3,0.0,3,1,0,0.0,0,T
9,230,1.0,15,4,2,13.93333333,0,T
11,184,1.0,13,2,1,13.0,2,T
10,305,1.0,5,2,1,59.4,2,T
8,2,0.0,2,1,0,0.0,0,F
4,126,0.0,4,1,1,30.5,0,F
4,1,0.0,1,1,0,0.0,0,F
3,12,0.0,2,5,1,5.0,0,F
6,167,0.5625,19,1,0,6.947368421,2,F
7,40,1.0,7,1,0,4.428571429,1,F
28,7,0.0,7,1,0,0.0,0,F
2,14,1.0,3,1,0,3.333333333,0,F
2,682,1.0,13,1,0,51.23076923,0,F
14,3,0.0,3,1,0,0.0,0,F
3,10,0.0,2,2,0,4.0,0,F
7,119,1.0,11,1,1,9.636363636,2,F
5,140,0.5,12,6,1,10.33333333,0,F
3,48,0.0,2,2,0,23.0,0,F
2,24,1.0,4,1,0,4.75,1,F
17,13,0.0,13,1,0,0.0,0,F
5,121,1.0,8,1,1,13.625,1,F
4,20,1.0,3,1,0,5.0,0,F
6,41,1.0,5,1,0,6.8,1,F
10,2,0.0,2,1,0,0.0,0,F
4,1,0.0,1,1,0,0.0,0,F
4,57,1.0,3,2,0,17.66666667,0,F
8,340,0.666666667,18,6,2,17.55555556,0,F
1,97,1.0,5,1,0,18.2,0,F
5,51,1.0,7,1,0,5.857142857,0,F
2,32,1.0,6,1,0,4.166666667,0,F
4,2,0.0,2,1,0,0.0,0,F
9,30,1.0,5,1,0,4.6,1,F
12,75,1.0,5,1,0,13.8,0,F
5,12,0.0,2,5,1,5.0,0,F
9,32,0.25,3,1,0,8.333333333,3,F
8,114,1.0,9,2,1,11.0,2,F
6,28,1.0,6,1,0,3.333333333,1,F
1,34,0.0,2,1,0,16.0,0,F
9,2,0.0,2,1,0,0.0,0,F
10,20,1.0,3,1,0,5.0,1,F
14,515,1.0,20,1,0,24.35,2,F
4,57,1.0,3,2,0,17.66666667,0,F
7,138,1.0,7,4,0,18.28571429,0,F
7,217,1.0,17,1,0,11.58823529,1,F
3,184,1.0,13,4,0,12.76923077,0,F
15,408,1.0,17,4,1,22.52941176,0,F
11,1007,0.0,8,1,0,124.875,0,F
9,46,1.0,6,1,0,6.5,1,F
6,1,0.0,1,1,0,0.0,0,F
2,53,1.0,10,1,0,3.9,0,F
4,79,0.333333333,5,1,0,14.2,0,F
6,28,1.0,6,1,0,3.333333333,1,F
4,4,0.0,1,1,0,3.0,0,F
2,67,0.0,7,4,2,8.571428571,0,F
14,483,0.666666667,27,6,4,16.66666667,0,F
5,9,0.0,1,3,0,7.0,0,F
8,29,1.0,5,1,0,4.6,1,F
25,568,1.0,18,2,1,30.16666667,1,F
5,29,1.0,5,1,0,4.6,1,F
5,22,0.5,2,3,0,9.0,1,F
3,222,1.0,12,1,0,17.0,1,F
9,297,1.0,13,1,0,21.46153846,0,F
4,1,0.0,1,1,0,0.0,0,F
19,685,1.0,20,2,1,33.1,0,F
4,16,1.0,3,1,0,4.0,0,F
3,27,0.0,3,2,1,8.0,0,F
16,610,1.0,23,1,0,25.13043478,2,F
3,191,1.0,13,4,0,13.30769231,0,F
3,15,1.0,2,3,0,6.0,0,F
6,1,0.0,1,1,0,0.0,0,F
11,212,1.0,3,1,0,69.33333333,0,F
16,143,0.0,9,1,0,14.88888889,0,F
5,43,0.0,5,2,2,7.6,0,F
4,14,1.0,2,4,0,5.5,1,F
4,4,0.0,2,1,0,0.0,0,F
7,28,1.0,3,2,0,8.0,1,F
26,957,0.0,10,1,0,94.7,0,F
6,1,0.0,1,1,0,0.0,0,F
7,189,1.0,10,2,1,17.6,1,F
7,213,0.428571429,20,2,0,8.6,2,F
6,89,1.0,6,1,0,13.33333333,0,F
2,40,1.0,6,1,0,5.5,0,F
10,32,0.25,3,1,0,8.333333333,3,F
3,67,0.0,12,5,1,4.583333333,0,F
20,926,0.166666667,28,1,0,31.64285714,0,F
1,14,1.0,3,1,0,3.333333333,0,F
6,1207,1.0,7,1,0,171.2857143,0,F
8,67,1.0,10,1,0,5.3,1,F
10,20,1.0,3,1,0,5.0,1,F
6,27,1.0,4,2,0,5.5,1,F
3,9,0.0,1,3,0,7.0,0,F
22,469,1.0,22,1,0,20.0,1,F
2,88,1.0,10,1,0,7.2,1,F
4,144,1.0,5,2,1,27.2,0,F
17,440,0.0,14,3,2,30.42857143,0,F
7,121,1.0,12,4,0,8.666666667,0,F
13,152,0.0,3,5,0,49.66666667,0,F
22,1,0.0,1,1,0,0.0,0,F
8,78,0.666666667,3,3,0,24.0,2,F
4,20,1.0,3,1,0,5.0,0,F
11,45,1.0,9,1,0,3.777777778,1,F
4,43,0.0,7,1,0,5.142857143,0,F
