$ck_oo_numberOfPrivateMethods,$LDHH_lcom,$LDHH_fanIn,$numberOfNonTrivialBugsFoundUntil:,$WCHU_numberOfPublicAttributes,$WCHU_numberOfAttributes,$CvsWEntropy,$LDHH_numberOfPublicMethods,$WCHU_fanIn,$LDHH_numberOfPrivateAttributes,$CvsEntropy,$LDHH_numberOfPublicAttributes,$WCHU_numberOfPrivateMethods,$WCHU_numberOfMethods,$ck_oo_numberOfPublicAttributes,$ck_oo_noc,$numberOfCriticalBugsFoundUntil:,$ck_oo_wmc,$LDHH_numberOfPrivateMethods,$WCHU_numberOfPrivateAttributes,$CvsLogEntropy,$WCHU_noc,$LDHH_numberOfAttributesInherited,$WCHU_wmc,$ck_oo_fanOut,$ck_oo_numberOfLinesOfCode,$ck_oo_numberOfAttributesInherited,$ck_oo_numberOfMethods,$ck_oo_dit,$ck_oo_fanIn,$LDHH_noc,$WCHU_dit,$ck_oo_lcom,$WCHU_numberOfAttributesInherited,$ck_oo_rfc,$LDHH_wmc,$LDHH_numberOfAttributes,$LDHH_numberOfLinesOfCode,$WCHU_fanOut,$WCHU_lcom,$ck_oo_cbo,$WCHU_rfc,$ck_oo_numberOfAttributes,$numberOfHighPriorityBugsFoundUntil:,$ck_oo_numberOfPrivateAttributes,$numberOfMajorBugsFoundUntil:,$WCHU_numberOfPublicMethods,$LDHH_dit,$WCHU_cbo,$CvsLinEntropy,$WCHU_numberOfMethodsInherited,$numberOfBugsFoundUntil:,$LDHH_fanOut,$LDHH_numberOfMethodsInherited,$LDHH_rfc,$ck_oo_numberOfMethodsInherited,$ck_oo_numberOfPublicMethods,$LDHH_cbo,$WCHU_numberOfLinesOfCode,$CvsExpEntropy,$LDHH_numberOfMethods,$>Defects
0.0,0.0,0.0,1.0,0.0,0.0,0.000665,0.0,0.0,0.0,1.56044,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.052586,0.0,0.0,0.0,2.0,10.0,0.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.003115,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008031,0.0,2.0,0.0,0.0,0.0,20.0,3.0,0.0,1.01,0.024708,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.000831,0.0,0.0,0.0,1.56044,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.052586,0.0,0.0,0.0,3.0,10.0,0.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.003115,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008031,0.0,2.0,0.0,0.0,0.0,20.0,3.0,0.0,1.02,0.024708,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.000665,0.0,0.0,0.0,1.56044,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.052586,0.0,0.0,0.0,2.0,10.0,0.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.003115,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008031,0.0,2.0,0.0,0.0,0.0,20.0,3.0,0.0,1.01,0.024708,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.000665,0.0,0.0,0.0,1.56044,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.052586,0.0,0.0,0.0,2.0,10.0,0.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.003115,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008031,0.0,2.0,0.0,0.0,0.0,20.0,3.0,0.0,1.01,0.024708,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.001663,0.0,0.0,0.0,1.56044,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.052586,0.0,0.0,0.0,2.0,11.0,0.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.003115,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008031,0.0,2.0,0.0,0.0,0.0,20.0,3.0,0.0,1.01,0.024708,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.000665,0.0,0.0,0.0,1.56044,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.052586,0.0,0.0,0.0,2.0,7.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008031,0.0,2.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.024708,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.000665,0.0,0.0,0.0,1.56044,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.052586,0.0,0.0,0.0,2.0,7.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008031,0.0,2.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.024708,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.000665,0.0,0.0,0.0,1.56044,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.052586,0.0,0.0,0.0,2.0,7.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008031,0.0,2.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.024708,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.000665,0.0,0.0,0.0,1.56044,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.052586,0.0,0.0,0.0,2.0,7.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008031,0.0,2.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.024708,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.000665,0.0,0.0,0.0,1.56044,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.052586,0.0,0.0,0.0,2.0,7.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008031,0.0,2.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.024708,0.0,0
