$ck_oo_numberOfPrivateMethods,$LDHH_lcom,$LDHH_fanIn,$numberOfNonTrivialBugsFoundUntil:,$WCHU_numberOfPublicAttributes,$WCHU_numberOfAttributes,$CvsWEntropy,$LDHH_numberOfPublicMethods,$WCHU_fanIn,$LDHH_numberOfPrivateAttributes,$CvsEntropy,$LDHH_numberOfPublicAttributes,$WCHU_numberOfPrivateMethods,$WCHU_numberOfMethods,$ck_oo_numberOfPublicAttributes,$ck_oo_noc,$numberOfCriticalBugsFoundUntil:,$ck_oo_wmc,$LDHH_numberOfPrivateMethods,$WCHU_numberOfPrivateAttributes,$CvsLogEntropy,$WCHU_noc,$LDHH_numberOfAttributesInherited,$WCHU_wmc,$ck_oo_fanOut,$ck_oo_numberOfLinesOfCode,$ck_oo_numberOfAttributesInherited,$ck_oo_numberOfMethods,$ck_oo_dit,$ck_oo_fanIn,$LDHH_noc,$WCHU_dit,$ck_oo_lcom,$WCHU_numberOfAttributesInherited,$ck_oo_rfc,$LDHH_wmc,$LDHH_numberOfAttributes,$LDHH_numberOfLinesOfCode,$WCHU_fanOut,$WCHU_lcom,$ck_oo_cbo,$WCHU_rfc,$ck_oo_numberOfAttributes,$numberOfHighPriorityBugsFoundUntil:,$ck_oo_numberOfPrivateAttributes,$numberOfMajorBugsFoundUntil:,$WCHU_numberOfPublicMethods,$LDHH_dit,$WCHU_cbo,$CvsLinEntropy,$WCHU_numberOfMethodsInherited,$numberOfBugsFoundUntil:,$LDHH_fanOut,$LDHH_numberOfMethodsInherited,$LDHH_rfc,$ck_oo_numberOfMethodsInherited,$ck_oo_numberOfPublicMethods,$LDHH_cbo,$WCHU_numberOfLinesOfCode,$CvsExpEntropy,$LDHH_numberOfMethods,$>Defects
0.0,0.0,0.0,1.0,0.0,0.0,0.027268,0.0,0.0,0.0,2.23731,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.053999,0.0,0.0,0.0,17.0,97.0,0.0,4.0,1.0,1.0,0.0,0.0,6.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.003552,0.0,1.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.000455,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.002678,0.0,0.0,0.0,2.97312,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09279,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012583,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.034972,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.002678,0.0,0.0,0.0,2.97312,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09279,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012583,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.034972,0.0,0
0.0,0.0,0.0,2.0,0.0,0.0,0.002332,0.0,0.0,0.0,1.27443,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.030363,0.0,0.0,0.0,0.0,6.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001916,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.000182,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.002726,0.0,0.0,0.0,6.41569,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.169334,0.0,0.0,0.0,0.0,7.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.016324,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.034357,0.0,0
0.0,0.0,0.005587,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,8.0,0.0,3.0,2.0,2.0,0.000485,0.0,3.0,0.0,4.0,0.0,0.0,0.000824,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.006785,1.01,0.0,0.0,0
5.0,0.000974,0.0,4.0,0.0,0.0,0.055925,0.001082,0.0,0.0,12.4195,0.0,0.0,1.01,0.0,0.0,0.0,39.0,0.0,0.0,8.31314,0.0,0.0,4.08,12.0,200.0,0.0,7.0,1.0,0.0,0.0,0.0,21.0,0.0,88.0,0.004473,0.0,0.003578,4.05,1.06,12.0,3.12,9.0,1.0,9.0,1.0,1.01,0.0,4.05,0.188628,0.0,6.0,0.01043,0.0,0.003551,8.0,2.0,0.011405,3.51,0.333078,0.001267,0
0.0,0.004147,0.0,5.0,0.0,1.01,0.039557,0.002033,0.0,0.002713,17.0076,0.0,0.0,2.02,0.0,2.0,0.0,21.0,0.0,1.01,0.449897,0.0,0.0,2.06,3.0,65.0,7.0,11.0,4.0,2.0,0.0,0.0,55.0,0.0,45.0,0.004428,0.001748,0.004278,1.01,2.2,5.0,3.18,2.0,0.0,1.0,0.0,1.01,0.0,1.01,0.041765,4.07,5.0,0.000632,0.005595,0.005084,78.0,8.0,0.000762,2.16,0.065459,0.004606,0
1.0,0.0,0.03915,1.0,0.0,0.0,0.000518,0.0,1.01,0.0,0.792859,0.0,0.0,0.0,6.0,0.0,0.0,22.0,0.0,0.0,0.042456,0.0,0.0,0.0,7.0,116.0,1.0,11.0,2.0,1.0,0.0,0.0,55.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012267,0.0,1.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,0.045793,0.0,1
6.0,0.000562,0.029762,7.0,0.0,1.03,0.058686,0.000526,18.22,0.0,14.7298,0.0,0.0,1.01,2.0,3.0,0.0,52.0,0.0,0.0,0.392315,2.02,0.0,4.16,6.0,156.0,0.0,15.0,1.0,42.0,0.001628,0.0,105.0,0.0,73.0,0.004319,0.002497,0.010598,6.09,1.15,48.0,4.26,15.0,1.0,1.0,2.0,1.01,0.0,23.29,0.037455,0.0,8.0,0.005254,0.0,0.003683,0.0,9.0,0.034968,6.41,0.065751,0.000562,0
