$AvgCyclomatic,$AvgCyclomaticModified,$AvgCyclomaticStrict,$AvgEssential,$AvgLine,$AvgLineBlank,$AvgLineCode,$AvgLineComment,$CountLine,$CountLineBlank,$CountLineCode,$CountLineCodeDecl,$CountLineCodeExe,$CountLineComment,$CountSemicolon,$CountStmt,$CountStmtDecl,$CountStmtExe,$MaxCyclomatic,$MaxCyclomaticModified,$MaxCyclomaticStrict,$RatioCommentToCode,$SumCyclomatic,$SumCyclomaticModified,$SumCyclomaticStrict,$SumEssential,$>Defects
2.0,2.0,2.0,1.0,10.0,0.0,10.0,0.0,37.0,4.0,23.0,8.0,10.0,10.0,13.0,16.0,8.0,8.0,2.0,2.0,2.0,0.43,4.0,4.0,4.0,2.0,0
4.0,4.0,6.0,1.0,20.0,1.0,14.0,6.0,29.0,4.0,18.0,9.0,7.0,8.0,11.0,16.0,7.0,9.0,4.0,4.0,6.0,0.44,4.0,4.0,6.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,5.0,6.0,5.0,0.0,30.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0
1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,29.0,3.0,5.0,2.0,2.0,15.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,33.0,4.0,9.0,3.0,2.0,15.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.67,2.0,2.0,2.0,2.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,5.0,21.0,21.0,16.0,19.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,5.0,14.0,13.0,0.0,8.0,12.0,13.0,13.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,5.0,4.0,0.0,2.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,7.0,2.0,5.0,3.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
