$LOC_BLANK,$BRANCH_COUNT,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CYCLOMATIC_COMPLEXITY,$DESIGN_COMPLEXITY,$ESSENTIAL_COMPLEXITY,$LOC_EXECUTABLE,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$LOC_TOTAL,$>Defective
4.0,3.0,0.0,0.0,2.0,2.0,1.0,6.0,9.98,9.0,808.73,0.03,23.0,0.11,44.93,89.86,9.0,14.0,5.0,10.0,12.0,0
4.0,3.0,0.0,0.0,2.0,2.0,1.0,6.0,9.98,9.0,808.73,0.03,23.0,0.11,44.93,89.86,9.0,14.0,5.0,10.0,12.0,0
4.0,3.0,0.0,0.0,2.0,2.0,1.0,6.0,9.98,9.0,808.73,0.03,23.0,0.11,44.93,89.86,9.0,14.0,5.0,10.0,12.0,0
2.0,3.0,0.0,0.0,2.0,2.0,1.0,4.0,8.89,9.9,871.2,0.03,22.0,0.1,48.4,88.0,9.0,13.0,5.0,11.0,8.0,0
2.0,3.0,0.0,0.0,2.0,2.0,1.0,4.0,8.89,9.9,871.2,0.03,22.0,0.1,48.4,88.0,9.0,13.0,5.0,11.0,8.0,0
2.0,3.0,0.0,0.0,2.0,2.0,1.0,4.0,8.89,9.9,871.2,0.03,22.0,0.1,48.4,88.0,9.0,13.0,5.0,11.0,8.0,0
2.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,13.95,5.0,348.8,0.02,21.0,0.2,19.38,69.76,10.0,11.0,5.0,5.0,9.0,0
2.0,3.0,0.0,0.0,2.0,1.0,1.0,7.0,13.01,7.07,650.57,0.03,23.0,0.14,36.14,92.0,11.0,12.0,7.0,9.0,11.0,1
2.0,9.0,0.0,8.0,5.0,4.0,5.0,13.0,20.55,10.2,2137.85,0.07,47.0,0.1,118.77,209.59,17.0,30.0,10.0,12.0,23.0,0
2.0,9.0,0.0,8.0,5.0,4.0,5.0,13.0,20.55,10.2,2137.85,0.07,47.0,0.1,118.77,209.59,17.0,30.0,10.0,12.0,23.0,0
2.0,9.0,0.0,8.0,5.0,4.0,5.0,13.0,20.55,10.2,2137.85,0.07,47.0,0.1,118.77,209.59,17.0,30.0,10.0,12.0,23.0,0
2.0,3.0,0.0,0.0,2.0,1.0,1.0,5.0,12.51,8.0,800.63,0.03,24.0,0.13,44.48,100.08,8.0,16.0,6.0,12.0,9.0,0
2.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,11.43,7.7,677.6,0.03,22.0,0.13,37.64,88.0,7.0,15.0,5.0,11.0,8.0,0
2.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,11.43,7.7,677.6,0.03,22.0,0.13,37.64,88.0,7.0,15.0,5.0,11.0,8.0,0
2.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,11.43,7.7,677.6,0.03,22.0,0.13,37.64,88.0,7.0,15.0,5.0,11.0,8.0,0
2.0,3.0,0.0,0.0,2.0,2.0,1.0,8.0,18.5,6.13,693.96,0.04,29.0,0.16,38.55,113.3,14.0,15.0,8.0,7.0,12.0,0
1.0,9.0,0.0,1.0,5.0,5.0,1.0,18.0,23.13,6.75,1053.69,0.05,41.0,0.15,58.54,156.1,18.0,23.0,8.0,6.0,22.0,0
4.0,3.0,0.0,3.0,2.0,2.0,1.0,9.0,18.89,11.2,2369.02,0.07,45.0,0.09,131.61,211.52,14.0,31.0,10.0,16.0,18.0,0
24.0,3.0,0.0,5.0,2.0,2.0,1.0,12.0,14.59,7.5,820.45,0.04,28.0,0.13,45.58,109.39,10.0,18.0,6.0,9.0,43.0,0
2.0,7.0,0.0,0.0,4.0,3.0,1.0,15.0,20.2,10.0,2020.47,0.07,46.0,0.1,112.25,202.05,22.0,24.0,11.0,10.0,19.0,0
24.0,3.0,0.0,5.0,2.0,2.0,1.0,12.0,14.59,7.5,820.45,0.04,28.0,0.13,45.58,109.39,10.0,18.0,6.0,9.0,43.0,0
4.0,3.0,0.0,3.0,2.0,2.0,1.0,9.0,18.89,11.2,2369.02,0.07,45.0,0.09,131.61,211.52,14.0,31.0,10.0,16.0,18.0,0
1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,16.64,4.0,266.27,0.02,21.0,0.25,14.79,66.57,10.0,11.0,5.0,4.0,3.0,0
1.0,3.0,0.0,0.0,2.0,2.0,1.0,6.0,11.17,7.5,628.21,0.03,22.0,0.13,34.9,83.76,6.0,16.0,4.0,10.0,9.0,0
4.0,3.0,0.0,3.0,2.0,2.0,1.0,9.0,18.89,11.2,2369.02,0.07,45.0,0.09,131.61,211.52,14.0,31.0,10.0,16.0,18.0,0
1.0,3.0,0.0,0.0,2.0,1.0,1.0,8.0,18.0,6.0,648.0,0.04,27.0,0.17,36.0,108.0,12.0,15.0,8.0,8.0,11.0,0
4.0,13.0,0.0,0.0,7.0,3.0,7.0,15.0,21.48,10.63,2424.99,0.08,48.0,0.09,134.72,228.23,17.0,31.0,12.0,15.0,21.0,1
0.0,3.0,0.0,0.0,2.0,2.0,1.0,3.0,14.28,4.0,228.44,0.02,15.0,0.25,12.69,57.11,6.0,9.0,6.0,8.0,3.0,0
1.0,3.0,0.0,0.0,2.0,1.0,1.0,8.0,18.0,6.0,648.0,0.04,27.0,0.17,36.0,108.0,12.0,15.0,8.0,8.0,11.0,0
2.0,7.0,0.0,0.0,4.0,4.0,1.0,15.0,20.42,9.6,1881.47,0.07,47.0,0.1,104.53,195.99,24.0,23.0,10.0,8.0,19.0,0
21.0,1.0,11.0,30.0,1.0,1.0,1.0,11.0,113.15,4.03,1841.77,0.15,89.0,0.25,102.32,456.51,39.0,50.0,29.0,6.0,22.0,0
2.0,7.0,0.0,0.0,4.0,4.0,1.0,15.0,20.42,9.6,1881.47,0.07,47.0,0.1,104.53,195.99,24.0,23.0,10.0,8.0,19.0,0
0.0,15.0,0.0,0.0,8.0,5.0,6.0,15.0,16.64,8.94,1328.8,0.05,35.0,0.11,73.82,148.68,13.0,22.0,8.0,11.0,17.0,0
0.0,15.0,0.0,0.0,8.0,5.0,6.0,15.0,16.64,8.94,1328.8,0.05,35.0,0.11,73.82,148.68,13.0,22.0,8.0,11.0,17.0,0
0.0,15.0,0.0,0.0,8.0,5.0,6.0,15.0,16.64,8.94,1328.8,0.05,35.0,0.11,73.82,148.68,13.0,22.0,8.0,11.0,17.0,0
2.0,5.0,0.0,0.0,3.0,3.0,1.0,24.0,15.94,10.2,1658.45,0.05,47.0,0.1,92.14,162.59,17.0,30.0,5.0,6.0,28.0,0
0.0,3.0,0.0,0.0,2.0,1.0,1.0,4.0,17.58,4.0,281.3,0.02,18.0,0.25,15.63,70.32,7.0,11.0,7.0,8.0,6.0,0
3.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,21.18,2.67,150.59,0.02,17.0,0.38,8.37,56.47,8.0,9.0,6.0,4.0,10.0,0
3.0,9.0,0.0,4.0,5.0,2.0,3.0,11.0,13.31,12.57,2104.1,0.06,37.0,0.08,116.89,167.37,11.0,26.0,7.0,16.0,20.0,0
3.0,9.0,0.0,4.0,5.0,2.0,3.0,11.0,13.31,12.57,2104.1,0.06,37.0,0.08,116.89,167.37,11.0,26.0,7.0,16.0,20.0,0
3.0,9.0,0.0,4.0,5.0,2.0,3.0,11.0,13.31,12.57,2104.1,0.06,37.0,0.08,116.89,167.37,11.0,26.0,7.0,16.0,20.0,0
2.0,9.0,1.0,11.0,5.0,3.0,1.0,23.0,19.18,10.0,1918.17,0.06,46.0,0.1,106.56,191.82,20.0,26.0,9.0,9.0,39.0,1
1.0,3.0,0.0,2.0,2.0,1.0,1.0,4.0,11.71,7.33,629.47,0.03,21.0,0.14,34.97,85.84,8.0,13.0,6.0,11.0,4.0,0
2.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,13.44,4.0,215.1,0.02,15.0,0.25,11.95,53.77,4.0,11.0,4.0,8.0,11.0,0
2.0,3.0,0.0,0.0,2.0,1.0,1.0,11.0,14.07,8.0,900.7,0.04,27.0,0.13,50.04,112.59,8.0,19.0,6.0,12.0,15.0,0
4.0,7.0,0.0,5.0,4.0,1.0,4.0,17.0,15.27,11.69,2085.19,0.06,42.0,0.09,115.84,178.41,17.0,25.0,8.0,11.0,26.0,0
4.0,7.0,0.0,5.0,4.0,1.0,4.0,17.0,15.27,11.69,2085.19,0.06,42.0,0.09,115.84,178.41,17.0,25.0,8.0,11.0,26.0,0
4.0,7.0,0.0,5.0,4.0,1.0,4.0,17.0,15.27,11.69,2085.19,0.06,42.0,0.09,115.84,178.41,17.0,25.0,8.0,11.0,26.0,0
1.0,3.0,0.0,0.0,2.0,2.0,1.0,6.0,15.86,7.2,822.39,0.04,30.0,0.14,45.69,114.22,8.0,22.0,5.0,9.0,6.0,0
2.0,3.0,0.0,0.0,2.0,1.0,1.0,7.0,13.01,7.07,650.57,0.03,23.0,0.14,36.14,92.0,11.0,12.0,7.0,9.0,11.0,1
2.0,3.0,0.0,0.0,2.0,1.0,1.0,7.0,13.01,7.07,650.57,0.03,23.0,0.14,36.14,92.0,11.0,12.0,7.0,9.0,11.0,1
1.0,3.0,0.0,0.0,2.0,2.0,1.0,6.0,11.17,7.5,628.21,0.03,22.0,0.13,34.9,83.76,6.0,16.0,4.0,10.0,9.0,0
3.0,3.0,0.0,2.0,2.0,2.0,1.0,13.0,26.48,9.82,2554.12,0.09,56.0,0.1,141.9,260.06,25.0,31.0,14.0,11.0,20.0,0
1.0,3.0,0.0,0.0,2.0,2.0,1.0,6.0,11.17,7.5,628.21,0.03,22.0,0.13,34.9,83.76,6.0,16.0,4.0,10.0,9.0,0
0.0,3.0,0.0,0.0,2.0,1.0,1.0,4.0,13.67,6.0,492.27,0.03,21.0,0.17,27.35,82.04,6.0,15.0,5.0,10.0,6.0,1
0.0,3.0,0.0,0.0,2.0,1.0,1.0,4.0,13.67,6.0,492.27,0.03,21.0,0.17,27.35,82.04,6.0,15.0,5.0,10.0,6.0,1
0.0,3.0,0.0,0.0,2.0,1.0,1.0,4.0,13.67,6.0,492.27,0.03,21.0,0.17,27.35,82.04,6.0,15.0,5.0,10.0,6.0,1
1.0,3.0,0.0,2.0,2.0,1.0,1.0,4.0,11.71,7.33,629.47,0.03,21.0,0.14,34.97,85.84,8.0,13.0,6.0,11.0,4.0,0
2.0,3.0,0.0,0.0,2.0,1.0,1.0,5.0,12.51,8.0,800.63,0.03,24.0,0.13,44.48,100.08,8.0,16.0,6.0,12.0,9.0,0
1.0,3.0,0.0,2.0,2.0,1.0,1.0,4.0,11.71,7.33,629.47,0.03,21.0,0.14,34.97,85.84,8.0,13.0,6.0,11.0,4.0,0
2.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,22.86,3.5,280.0,0.03,20.0,0.29,15.56,80.0,9.0,11.0,9.0,7.0,10.0,0
2.0,9.0,1.0,11.0,5.0,3.0,1.0,23.0,19.18,10.0,1918.17,0.06,46.0,0.1,106.56,191.82,20.0,26.0,9.0,9.0,39.0,1
1.0,3.0,0.0,0.0,2.0,2.0,1.0,4.0,15.36,3.5,188.21,0.02,15.0,0.29,10.46,53.77,7.0,8.0,6.0,6.0,7.0,0
