$lines,$cyclomatic,$churn,$churn_adds,$churn_dels,$num_commits,$num_developers,$num_pre_release_issues,$changed_lines,$mean_experience,$post_num_commits,$num_cochanged_files,$>num_issues
21,0,0,0,0,0,0,0,0,0.0,0,0,0
123,0,10,8,2,4,2,3,5,28.0,1,1,1
244,27,0,0,0,0,0,0,0,0.0,0,0,0
285,34,0,0,0,0,0,0,0,0.0,0,0,0
245,23,0,0,0,0,0,0,0,0.0,0,0,0
30,0,0,0,0,0,0,0,0,0.0,0,0,0
51,1,0,0,0,0,0,0,1,138.0,1,0,1
53,4,0,0,0,0,0,0,0,0.0,0,0,0
50,2,0,0,0,0,0,0,0,0.0,0,0,0
272,39,34,18,16,4,3,1,0,0.0,0,0,0
53,6,14,11,3,1,1,1,0,0.0,0,0,0
24,0,0,0,0,0,0,0,0,0.0,0,0,0
53,3,0,0,0,0,0,0,0,0.0,0,0,0
177,33,0,0,0,0,0,0,8,23.0,1,5,1
51,3,0,0,0,0,0,0,0,0.0,0,0,0
64,3,0,0,0,0,0,0,0,0.0,0,0,0
71,4,0,0,0,0,0,0,0,0.0,0,0,0
293,48,0,0,0,0,0,0,107,161.0,1,1,1
321,45,197,129,68,5,2,2,0,0.0,0,0,0
272,37,0,0,0,0,0,0,0,0.0,0,0,0
139,13,3,3,0,1,1,0,0,0.0,0,0,0
116,11,0,0,0,0,0,0,0,0.0,0,0,0
231,15,0,0,0,0,0,0,0,0.0,0,0,0
157,12,81,42,39,4,2,4,0,0.0,0,0,0
299,40,0,0,0,0,0,0,0,0.0,0,0,0
397,49,0,0,0,0,0,0,0,0.0,0,0,0
64,4,0,0,0,0,0,0,0,0.0,0,0,0
144,10,23,23,0,1,1,1,0,0.0,0,0,0
67,6,0,0,0,0,0,0,0,0.0,0,0,0
74,7,0,0,0,0,0,0,0,0.0,0,0,0
77,7,0,0,0,0,0,0,0,0.0,0,0,0
160,21,0,0,0,0,0,0,0,0.0,0,0,0
102,10,0,0,0,0,0,0,0,0.0,0,0,0
129,11,0,0,0,0,0,0,0,0.0,0,0,0
39,2,0,0,0,0,0,0,0,0.0,0,0,0
66,6,0,0,0,0,0,0,0,0.0,0,0,0
87,8,0,0,0,0,0,0,0,0.0,0,0,0
39,4,0,0,0,0,0,0,0,0.0,0,0,0
54,5,0,0,0,0,0,0,0,0.0,0,0,0
276,33,13,5,8,2,2,2,0,0.0,0,0,0
129,15,0,0,0,0,0,0,0,0.0,0,0,0
97,14,0,0,0,0,0,0,0,0.0,0,0,0
67,14,0,0,0,0,0,0,0,0.0,0,0,0
170,24,0,0,0,0,0,0,0,0.0,0,0,0
119,9,0,0,0,0,0,0,0,0.0,0,0,0
49,2,2,1,1,1,1,1,0,0.0,0,0,0
385,21,28,23,5,2,1,0,0,0.0,0,0,0
21,2,0,0,0,0,0,0,0,0.0,0,0,0
21,2,0,0,0,0,0,0,0,0.0,0,0,0
353,21,0,0,0,0,0,0,0,0.0,0,0,0
36,2,69,47,22,3,1,1,0,0.0,0,0,0
729,47,35,26,9,4,4,1,0,0.0,0,0,0
24,0,0,0,0,0,0,0,0,0.0,0,0,0
47,2,48,23,25,7,4,4,0,0.0,0,0,0
34,2,0,0,0,0,0,0,0,0.0,0,0,0
44,3,0,0,0,0,0,0,0,0.0,0,0,0
109,13,0,0,0,0,0,0,0,0.0,0,0,0
146,17,0,0,0,0,0,0,0,0.0,0,0,0
62,6,0,0,0,0,0,0,0,0.0,0,0,0
21,1,0,0,0,0,0,0,0,0.0,0,0,0
21,1,0,0,0,0,0,0,0,0.0,0,0,0
131,12,0,0,0,0,0,0,0,0.0,0,0,0
800,118,24,11,13,2,1,1,0,0.0,0,0,0
184,24,0,0,0,0,0,0,0,0.0,0,0,0
210,33,0,0,0,0,0,0,0,0.0,0,0,0
23,0,0,0,0,0,0,0,0,0.0,0,0,0
176,36,0,0,0,0,0,0,0,0.0,0,0,0
233,30,166,133,33,1,1,0,0,0.0,0,0,0
214,49,0,0,0,0,0,0,0,0.0,0,0,0
244,34,0,0,0,0,0,0,0,0.0,0,0,0
154,26,12,9,3,3,2,0,0,0.0,0,0,0
429,50,14,2,12,4,3,1,0,0.0,0,0,0
137,18,0,0,0,0,0,0,0,0.0,0,0,0
145,16,0,0,0,0,0,0,0,0.0,0,0,0
226,29,0,0,0,0,0,0,0,0.0,0,0,0
209,30,0,0,0,0,0,0,0,0.0,0,0,0
331,59,0,0,0,0,0,0,0,0.0,0,0,0
165,26,0,0,0,0,0,0,0,0.0,0,0,0
63,7,0,0,0,0,0,0,0,0.0,0,0,0
199,43,0,0,0,0,0,0,0,0.0,0,0,0
1593,239,0,0,0,0,0,0,6,0.0,1,0,1
314,57,106,70,36,7,3,3,82,143.0,1,2,1
222,35,0,0,0,0,0,0,0,0.0,0,0,0
697,107,0,0,0,0,0,0,0,0.0,0,0,0
73,4,0,0,0,0,0,0,0,0.0,0,0,0
114,11,0,0,0,0,0,0,0,0.0,0,0,0
741,115,51,16,35,6,3,1,0,0.0,0,0,0
1009,152,0,0,0,0,0,0,0,0.0,0,0,0
49,10,0,0,0,0,0,0,0,0.0,0,0,0
460,62,0,0,0,0,0,0,16,157.0,1,1,1
82,13,0,0,0,0,0,0,0,0.0,0,0,0
659,103,0,0,0,0,0,0,0,0.0,0,0,0
138,18,0,0,0,0,0,0,0,0.0,0,0,0
139,17,0,0,0,0,0,0,0,0.0,0,0,0
37,0,0,0,0,0,0,0,0,0.0,0,0,0
107,10,6,1,5,1,1,1,10,226.5,2,3,1
60,6,0,0,0,0,0,0,0,0.0,0,0,0
36325,7455,0,0,0,0,0,0,0,0.0,0,0,0
64,8,0,0,0,0,0,0,0,0.0,0,0,0
112,24,0,0,0,0,0,0,0,0.0,0,0,0
551,100,0,0,0,0,0,0,0,0.0,0,0,0
106,22,0,0,0,0,0,0,0,0.0,0,0,0
85,15,0,0,0,0,0,0,0,0.0,0,0,0
520,94,0,0,0,0,0,0,0,0.0,0,0,0
836,172,0,0,0,0,0,0,0,0.0,0,0,0
2438,436,0,0,0,0,0,0,0,0.0,0,0,0
84,5,0,0,0,0,0,0,0,0.0,0,0,0
37,2,0,0,0,0,0,0,0,0.0,0,0,0
39,2,0,0,0,0,0,0,0,0.0,0,0,0
49,4,0,0,0,0,0,0,0,0.0,0,0,0
25,0,0,0,0,0,0,0,0,0.0,0,0,0
38,2,0,0,0,0,0,0,0,0.0,0,0,0
27,0,0,0,0,0,0,0,0,0.0,0,0,0
67,5,0,0,0,0,0,0,0,0.0,0,0,0
35,2,0,0,0,0,0,0,0,0.0,0,0,0
76,4,0,0,0,0,0,0,0,0.0,0,0,0
64,5,0,0,0,0,0,0,0,0.0,0,0,0
40,2,0,0,0,0,0,0,0,0.0,0,0,0
41,2,0,0,0,0,0,0,0,0.0,0,0,0
75,10,0,0,0,0,0,0,0,0.0,0,0,0
74,10,0,0,0,0,0,0,0,0.0,0,0,0
66,4,0,0,0,0,0,0,0,0.0,0,0,0
137,21,0,0,0,0,0,0,0,0.0,0,0,0
45,3,0,0,0,0,0,0,0,0.0,0,0,0
646,64,2,1,1,1,1,1,0,0.0,0,0,0
179,12,0,0,0,0,0,0,0,0.0,0,0,0
96,8,0,0,0,0,0,0,0,0.0,0,0,0
98,7,0,0,0,0,0,0,0,0.0,0,0,0
557,62,6,1,5,1,1,0,0,0.0,0,0,0
87,6,10,5,5,1,1,0,0,0.0,0,0,0
383,27,187,156,31,7,2,4,0,0.0,0,0,0
40,3,803,419,384,2,1,1,0,0.0,0,0,0
689,67,1284,645,639,7,3,5,0,0.0,0,0,0
177,12,0,0,0,0,0,0,0,0.0,0,0,0
81,6,8,4,4,2,2,2,0,0.0,0,0,0
101,8,11,7,4,2,2,1,0,0.0,0,0,0
562,63,33,13,20,6,3,3,0,0.0,0,0,0
79,4,6,3,3,1,1,0,0,0.0,0,0,0
384,27,111,88,23,7,2,3,0,0.0,0,0,0
367,57,0,0,0,0,0,0,2,10.0,1,1,1
522,96,188,58,130,5,2,1,41,189.666666667,3,2,3
407,47,8,1,7,1,1,1,0,0.0,0,0,0
52,3,0,0,0,0,0,0,0,0.0,0,0,0
187,20,0,0,0,0,0,0,0,0.0,0,0,0
795,91,0,0,0,0,0,0,0,0.0,0,0,0
204,16,0,0,0,0,0,0,0,0.0,0,0,0
34,0,0,0,0,0,0,0,0,0.0,0,0,0
60,5,0,0,0,0,0,0,0,0.0,0,0,0
135,18,28,13,15,2,2,0,0,0.0,0,0,0
277,17,12,2,10,3,2,0,0,0.0,0,0,0
170,14,0,0,0,0,0,0,0,0.0,0,0,0
462,26,71,35,36,7,3,5,0,0.0,0,0,0
196,12,0,0,0,0,0,0,0,0.0,0,0,0
21,0,0,0,0,0,0,0,0,0.0,0,0,0
57,5,0,0,0,0,0,0,0,0.0,0,0,0
126,15,4,3,1,1,1,0,4,152.0,1,4,1
73,3,0,0,0,0,0,0,0,0.0,0,0,0
75,8,0,0,0,0,0,0,0,0.0,0,0,0
54,6,0,0,0,0,0,0,0,0.0,0,0,0
49,6,11,7,4,1,1,1,0,0.0,0,0,0
151,22,0,0,0,0,0,0,0,0.0,0,0,0
163,21,37,19,18,1,1,1,0,0.0,0,0,0
28,1,0,0,0,0,0,0,0,0.0,0,0,0
87,11,0,0,0,0,0,0,0,0.0,0,0,0
56,6,0,0,0,0,0,0,0,0.0,0,0,0
54,6,0,0,0,0,0,0,0,0.0,0,0,0
130,20,0,0,0,0,0,0,0,0.0,0,0,0
123,17,0,0,0,0,0,0,0,0.0,0,0,0
117,12,0,0,0,0,0,0,0,0.0,0,0,0
28,1,4,4,0,1,1,0,0,0.0,0,0,0
225,45,0,0,0,0,0,0,0,0.0,0,0,0
181,21,0,0,0,0,0,0,0,0.0,0,0,0
184,33,12,9,3,1,1,0,8,152.0,1,4,1
