$lines,$cyclomatic,$churn,$churn_adds,$churn_dels,$num_commits,$num_developers,$num_pre_release_issues,$changed_lines,$mean_experience,$post_num_commits,$num_cochanged_files,$>num_issues
137,12,0,0,0,0,0,0,0,0.0,0,0,0
244,31,12,3,9,1,1,2,0,0.0,0,0,0
1026,129,507,411,96,4,2,1,223,41.25,4,13,4
92,13,0,0,0,0,0,0,0,0.0,0,0,0
180,25,18,15,3,2,2,2,0,0.0,0,0,0
471,60,76,48,28,3,2,2,5,25.0,2,6,2
204,25,77,76,1,1,1,1,40,48.0,1,1,1
551,90,0,0,0,0,0,0,163,50.0,1,4,1
149,21,0,0,0,0,0,0,6,50.0,1,4,1
157,32,0,0,0,0,0,0,0,0.0,0,0,0
147,17,0,0,0,0,0,0,0,0.0,0,0,0
137,8,12,6,6,1,1,0,0,0.0,0,0,0
271,58,12,11,1,1,1,0,0,0.0,0,0,0
548,32,13,7,6,1,1,0,142,14.0,1,2,1
728,58,193,126,67,1,1,1,0,0.0,0,0,0
205,21,0,0,0,0,0,0,0,0.0,0,0,0
50,4,0,0,0,0,0,0,0,0.0,0,0,0
185,19,0,0,0,0,0,0,0,0.0,0,0,0
61,3,0,0,0,0,0,0,0,0.0,0,0,0
157,9,3,2,1,2,1,2,57,42.0,1,4,1
81,3,0,0,0,0,0,0,0,0.0,0,0,0
84,7,0,0,0,0,0,0,0,0.0,0,0,0
762,81,43,35,8,3,1,2,50,22.3333333333,3,11,3
248,26,90,66,24,3,2,1,16,41.5,2,8,2
169,16,40,29,11,2,1,2,0,0.0,0,0,0
196,18,25,17,8,1,1,1,2,12.0,1,5,1
67,5,0,0,0,0,0,0,0,0.0,0,0,0
165,20,0,0,0,0,0,0,0,0.0,0,0,0
173,18,0,0,0,0,0,0,0,0.0,0,0,0
103,10,22,10,12,2,1,2,7,12.0,1,5,1
78,7,0,0,0,0,0,0,0,0.0,0,0,0
87,10,0,0,0,0,0,0,0,0.0,0,0,0
85,12,0,0,0,0,0,0,0,0.0,0,0,0
105,7,0,0,0,0,0,0,0,0.0,0,0,0
216,14,16,8,8,3,2,3,0,0.0,0,0,0
377,35,40,20,20,3,2,3,27,25.0,2,4,2
253,26,6,4,2,1,1,1,2,14.0,1,2,1
193,19,0,0,0,0,0,0,7,42.0,1,4,1
514,56,0,0,0,0,0,0,7,42.0,1,4,1
204,19,0,0,0,0,0,0,0,0.0,0,0,0
144,10,0,0,0,0,0,0,7,42.0,1,4,1
98,11,0,0,0,0,0,0,0,0.0,0,0,0
181,22,2,0,2,1,1,1,2,44.0,1,0,1
154,8,74,71,3,1,1,0,5,12.0,1,5,1
393,54,142,86,56,4,2,1,51,33.0,2,8,2
132,11,0,0,0,0,0,0,0,0.0,0,0,0
533,75,8,6,2,2,2,1,0,0.0,0,0,0
603,65,80,49,31,3,3,2,106,35.3333333333,3,5,3
148,30,0,0,0,0,0,0,0,0.0,0,0,0
174,17,0,0,0,0,0,0,0,0.0,0,0,0
148,17,0,0,0,0,0,0,0,0.0,0,0,0
92,5,2,2,0,1,1,1,0,0.0,0,0,0
234,24,0,0,0,0,0,0,0,0.0,0,0,0
54,4,0,0,0,0,0,0,0,0.0,0,0,0
38,2,0,0,0,0,0,0,0,0.0,0,0,0
98,11,0,0,0,0,0,0,0,0.0,0,0,0
39,3,0,0,0,0,0,0,0,0.0,0,0,0
69,5,0,0,0,0,0,0,0,0.0,0,0,0
