$lines,$cyclomatic,$churn,$churn_adds,$churn_dels,$num_commits,$num_developers,$num_pre_release_issues,$changed_lines,$mean_experience,$post_num_commits,$num_cochanged_files,$>num_issues
94,9,0,0,0,0,0,0,0,0.0,0,0,0
629,88,406,301,105,7,2,3,3,116.0,1,0,1
196,17,0,0,0,0,0,0,0,0.0,0,0,0
206,16,0,0,0,0,0,0,0,0.0,0,0,0
105,4,210,210,0,2,1,0,0,0.0,0,0,0
184,12,62,62,0,2,1,0,0,0.0,0,0,0
150,18,149,149,0,1,1,0,0,0.0,0,0,0
157,20,157,157,0,1,1,0,0,0.0,0,0,0
354,61,0,0,0,0,0,0,0,0.0,0,0,0
399,68,0,0,0,0,0,0,0,0.0,0,0,0
354,61,0,0,0,0,0,0,0,0.0,0,0,0
32100,6603,1078,8,1070,5,3,0,115,117.0,1,2,1
2836,689,109,5,104,2,2,0,0,0.0,0,0,0
661,139,0,0,0,0,0,0,0,0.0,0,0,0
808,175,0,0,0,0,0,0,0,0.0,0,0,0
652,139,0,0,0,0,0,0,0,0.0,0,0,0
464,91,0,0,0,0,0,0,0,0.0,0,0,0
575,121,0,0,0,0,0,0,0,0.0,0,0,0
68,7,0,0,0,0,0,0,0,0.0,0,0,0
125,13,0,0,0,0,0,0,0,0.0,0,0,0
49,0,4,2,2,2,2,0,2,117.0,1,2,1
460,86,0,0,0,0,0,0,0,0.0,0,0,0
497,99,0,0,0,0,0,0,0,0.0,0,0,0
734,150,0,0,0,0,0,0,0,0.0,0,0,0
693,144,0,0,0,0,0,0,0,0.0,0,0,0
68,8,0,0,0,0,0,0,0,0.0,0,0,0
500,99,0,0,0,0,0,0,0,0.0,0,0,0
551,113,0,0,0,0,0,0,0,0.0,0,0,0
536,104,0,0,0,0,0,0,200,101.5,2,1,2
597,120,0,0,0,0,0,0,0,0.0,0,0,0
583,119,0,0,0,0,0,0,0,0.0,0,0,0
74,10,0,0,0,0,0,0,0,0.0,0,0,0
65,7,0,0,0,0,0,0,0,0.0,0,0,0
355,61,0,0,0,0,0,0,0,0.0,0,0,0
460,86,0,0,0,0,0,0,0,0.0,0,0,0
768,169,0,0,0,0,0,0,0,0.0,0,0,0
504,99,0,0,0,0,0,0,0,0.0,0,0,0
923,197,0,0,0,0,0,0,0,0.0,0,0,0
448,87,0,0,0,0,0,0,0,0.0,0,0,0
251,36,0,0,0,0,0,0,0,0.0,0,0,0
251,36,0,0,0,0,0,0,0,0.0,0,0,0
493,96,0,0,0,0,0,0,0,0.0,0,0,0
681,136,0,0,0,0,0,0,0,0.0,0,0,0
503,99,0,0,0,0,0,0,0,0.0,0,0,0
251,36,0,0,0,0,0,0,0,0.0,0,0,0
857,190,0,0,0,0,0,0,0,0.0,0,0,0
251,36,0,0,0,0,0,0,0,0.0,0,0,0
46,3,0,0,0,0,0,0,0,0.0,0,0,0
39,2,0,0,0,0,0,0,0,0.0,0,0,0
52,3,0,0,0,0,0,0,0,0.0,0,0,0
45,3,3,3,0,1,1,0,0,0.0,0,0,0
66,2,0,0,0,0,0,0,0,0.0,0,0,0
38,2,0,0,0,0,0,0,0,0.0,0,0,0
