$lines,$cyclomatic,$churn,$churn_adds,$churn_dels,$num_commits,$num_developers,$num_pre_release_issues,$changed_lines,$mean_experience,$post_num_commits,$num_cochanged_files,$>num_issues
1236,94,1236,1236,0,1,1,0,0,0.0,0,0,0
315,33,3,0,3,1,1,0,0,0.0,0,0,0
113,8,113,113,0,1,1,0,0,0.0,0,0,0
784,64,2,1,1,1,1,0,0,0.0,0,0,0
1249,107,94,88,6,1,1,2,0,0.0,0,0,0
222,11,232,227,5,2,1,0,0,0.0,0,0,0
1516,108,1692,1604,88,6,1,0,0,0.0,0,0,0
740,109,0,0,0,0,0,0,0,0.0,0,0,0
186,5,0,0,0,0,0,0,0,0.0,0,0,0
137,15,0,0,0,0,0,0,0,0.0,0,0,0
136,15,0,0,0,0,0,0,0,0.0,0,0,0
138,15,0,0,0,0,0,0,0,0.0,0,0,0
139,15,0,0,0,0,0,0,0,0.0,0,0,0
137,15,0,0,0,0,0,0,0,0.0,0,0,0
60,3,0,0,0,0,0,0,0,0.0,0,0,0
347,24,0,0,0,0,0,0,2,150.0,1,3,1
247,12,0,0,0,0,0,0,8,150.0,1,3,1
157,10,0,0,0,0,0,0,16,34.0,1,1,1
340,35,0,0,0,0,0,0,6,48.0,1,5,1
153,13,0,0,0,0,0,0,41,33.0,1,0,1
140,15,0,0,0,0,0,0,0,0.0,0,0,0
139,11,0,0,0,0,0,0,0,0.0,0,0,0
206,17,0,0,0,0,0,0,0,0.0,0,0,0
279,55,0,0,0,0,0,0,0,0.0,0,0,0
57,6,0,0,0,0,0,0,0,0.0,0,0,0
100,10,0,0,0,0,0,0,0,0.0,0,0,0
766,98,348,257,91,6,3,0,0,0.0,0,0,0
211,14,240,211,29,7,5,0,3,158.0,1,1,1
146,11,197,174,23,4,2,0,0,0.0,0,0,0
75,9,30,16,14,1,1,0,0,0.0,0,0,0
210,18,0,0,0,0,0,0,0,0.0,0,0,0
1073,87,1201,1137,64,7,3,2,0,0.0,0,0,0
1261,268,26,17,9,1,1,0,0,0.0,0,0,0
323,43,0,0,0,0,0,0,0,0.0,0,0,0
328,20,0,0,0,0,0,0,0,0.0,0,0,0
40,1,0,0,0,0,0,0,0,0.0,0,0,0
1074,137,403,280,123,6,4,1,186,2.0,1,0,1
203,14,211,202,9,5,3,0,3,158.0,1,1,1
144,11,157,153,4,2,2,0,0,0.0,0,0,0
234,18,277,241,36,5,3,0,0,0.0,0,0,0
173,14,193,186,7,3,2,0,0,0.0,0,0,0
81,8,29,14,15,2,2,1,0,0.0,0,0,0
94,12,41,16,25,1,1,0,0,0.0,0,0,0
117,12,1,0,1,1,1,0,0,0.0,0,0,0
932,216,11,10,1,2,2,2,0,0.0,0,0,0
77,5,0,0,0,0,0,0,0,0.0,0,0,0
216,9,0,0,0,0,0,0,0,0.0,0,0,0
2268,361,199,184,15,9,6,1,0,0.0,0,0,0
47,6,0,0,0,0,0,0,0,0.0,0,0,0
1457,346,12,0,12,1,1,0,0,0.0,0,0,0
1310,288,40,26,14,3,3,2,0,0.0,0,0,0
2782,336,12,11,1,2,2,2,0,0.0,0,0,0
833,23,305,172,133,3,2,2,0,0.0,0,0,0
482,45,0,0,0,0,0,0,0,0.0,0,0,0
28,2,2,0,2,1,1,1,0,0.0,0,0,0
81,12,0,0,0,0,0,0,0,0.0,0,0,0
691,63,0,0,0,0,0,0,0,0.0,0,0,0
47,3,0,0,0,0,0,0,0,0.0,0,0,0
186,20,28,1,27,2,1,1,0,0.0,0,0,0
114,8,0,0,0,0,0,0,0,0.0,0,0,0
116,7,0,0,0,0,0,0,0,0.0,0,0,0
51,3,0,0,0,0,0,0,0,0.0,0,0,0
41,3,0,0,0,0,0,0,0,0.0,0,0,0
93,12,0,0,0,0,0,0,0,0.0,0,0,0
55,3,0,0,0,0,0,0,0,0.0,0,0,0
376,38,156,131,25,6,3,0,0,0.0,0,0,0
1282,274,0,0,0,0,0,0,0,0.0,0,0,0
339,55,0,0,0,0,0,0,323,48.0,1,5,1
216,19,0,0,0,0,0,0,184,49.0,1,6,1
61,7,0,0,0,0,0,0,0,0.0,0,0,0
71,15,0,0,0,0,0,0,2,2.0,1,5,1
94,14,0,0,0,0,0,0,0,0.0,0,0,0
71,4,0,0,0,0,0,0,0,0.0,0,0,0
3178,434,31,19,12,5,3,2,22,44.5,2,1,1
159,13,0,0,0,0,0,0,0,0.0,0,0,0
38,2,0,0,0,0,0,0,0,0.0,0,0,0
96,16,0,0,0,0,0,0,0,0.0,0,0,0
6167,1011,267,255,12,3,3,1,0,0.0,0,0,0
41,5,0,0,0,0,0,0,0,0.0,0,0,0
49,2,0,0,0,0,0,0,0,0.0,0,0,0
99,9,2,1,1,1,1,1,7,111.0,1,2,2
68,6,0,0,0,0,0,0,0,0.0,0,0,0
149,22,0,0,0,0,0,0,0,0.0,0,0,0
220,27,0,0,0,0,0,0,7,127.0,1,1,1
49,4,0,0,0,0,0,0,0,0.0,0,0,0
109,7,0,0,0,0,0,0,0,0.0,0,0,0
60,2,0,0,0,0,0,0,2,48.0,1,5,1
542,57,101,50,51,2,1,1,0,0.0,0,0,0
63,2,0,0,0,0,0,0,0,0.0,0,0,0
120,13,8,1,7,1,1,1,0,0.0,0,0,0
446,62,222,133,89,1,1,1,0,0.0,0,0,0
2812,463,31,13,18,2,2,0,31,2.0,1,5,1
83,5,0,0,0,0,0,0,0,0.0,0,0,0
61,13,0,0,0,0,0,0,0,0.0,0,0,0
181,52,0,0,0,0,0,0,0,0.0,0,0,0
30,3,0,0,0,0,0,0,0,0.0,0,0,0
109,4,4,2,2,1,1,0,0,0.0,0,0,0
68,2,2,1,1,1,1,0,0,0.0,0,0,0
231,12,8,2,6,1,1,0,0,0.0,0,0,0
214,10,4,2,2,1,1,0,0,0.0,0,0,0
333,75,0,0,0,0,0,0,0,0.0,0,0,0
177,19,0,0,0,0,0,0,0,0.0,0,0,0
95,15,28,4,24,1,1,1,0,0.0,0,0,0
93,6,0,0,0,0,0,0,0,0.0,0,0,0
362,20,0,0,0,0,0,0,0,0.0,0,0,0
359,21,0,0,0,0,0,0,0,0.0,0,0,0
745,1,0,0,0,0,0,0,0,0.0,0,0,0
93,2,0,0,0,0,0,0,0,0.0,0,0,0
66,7,0,0,0,0,0,0,0,0.0,0,0,0
39,6,0,0,0,0,0,0,0,0.0,0,0,0
41,6,0,0,0,0,0,0,0,0.0,0,0,0
69,1,0,0,0,0,0,0,0,0.0,0,0,0
186,13,0,0,0,0,0,0,0,0.0,0,0,0
231,23,0,0,0,0,0,0,0,0.0,0,0,0
182,0,0,0,0,0,0,0,0,0.0,0,0,0
