$lines,$cyclomatic,$churn,$churn_adds,$churn_dels,$num_commits,$num_developers,$num_pre_release_issues,$changed_lines,$mean_experience,$post_num_commits,$num_cochanged_files,$>num_issues
1134,192,1153,1145,8,4,1,3,0,0.0,0,0,0
21,1,21,21,0,1,1,0,0,0.0,0,0,0
233,31,237,235,2,2,1,0,0,0.0,0,0,0
96,4,2,1,1,1,1,1,0,0.0,0,0,0
604,54,2,1,1,1,1,1,0,0.0,0,0,0
114,11,0,0,0,0,0,0,0,0.0,0,0,0
1106,126,323,213,110,15,2,6,2,117.0,1,2,1
301,36,219,28,191,2,1,0,0,0.0,0,0,0
73,5,77,75,2,2,1,0,0,0.0,0,0,0
94,6,22,19,3,1,1,0,0,0.0,0,0,0
227,22,9,7,2,3,1,2,0,0.0,0,0,0
68,5,5,2,3,2,2,1,0,0.0,0,0,0
38,1,2,1,1,1,1,1,0,0.0,0,0,0
133,3,0,0,0,0,0,0,0,0.0,0,0,0
123,7,0,0,0,0,0,0,0,0.0,0,0,0
73,3,0,0,0,0,0,0,0,0.0,0,0,0
101,7,0,0,0,0,0,0,0,0.0,0,0,0
318,31,18,18,0,1,1,1,0,0.0,0,0,0
307,22,9,6,3,1,1,1,0,0.0,0,0,0
353,23,8,6,2,1,1,0,0,0.0,0,0,0
232,10,8,6,2,1,1,0,0,0.0,0,0,0
185,13,0,0,0,0,0,0,0,0.0,0,0,0
113,4,0,0,0,0,0,0,0,0.0,0,0,0
492,32,0,0,0,0,0,0,0,0.0,0,0,0
606,53,14,9,5,1,1,1,0,0.0,0,0,0
168,15,0,0,0,0,0,0,0,0.0,0,0,0
131,9,0,0,0,0,0,0,0,0.0,0,0,0
84,5,0,0,0,0,0,0,0,0.0,0,0,0
376,37,0,0,0,0,0,0,0,0.0,0,0,0
204,13,0,0,0,0,0,0,0,0.0,0,0,0
708,80,6,6,0,1,1,1,0,0.0,0,0,0
110,21,0,0,0,0,0,0,0,0.0,0,0,0
552,50,0,0,0,0,0,0,0,0.0,0,0,0
382,46,4,2,2,1,1,1,192,117.0,1,2,1
50,4,50,50,0,1,1,0,0,0.0,0,0,0
57,4,58,58,0,1,1,0,0,0.0,0,0,0
540,83,18,9,9,2,1,2,2,115.0,1,0,1
131,23,0,0,0,0,0,0,0,0.0,0,0,0
437,113,0,0,0,0,0,0,0,0.0,0,0,0
402,89,0,0,0,0,0,0,0,0.0,0,0,0
125,22,0,0,0,0,0,0,0,0.0,0,0,0
49,5,0,0,0,0,0,0,0,0.0,0,0,0
375,55,0,0,0,0,0,0,0,0.0,0,0,0
177,24,0,0,0,0,0,0,0,0.0,0,0,0
369,86,0,0,0,0,0,0,0,0.0,0,0,0
32,2,0,0,0,0,0,0,0,0.0,0,0,0
488,87,0,0,0,0,0,0,0,0.0,0,0,0
118,18,0,0,0,0,0,0,0,0.0,0,0,0
78,4,20,19,1,2,2,1,0,0.0,0,0,0
75,9,17,17,0,2,2,1,14,111.0,1,4,1
33,2,0,0,0,0,0,0,0,0.0,0,0,0
169,21,0,0,0,0,0,0,0,0.0,0,0,0
662,128,663,663,0,1,1,1,27,164.0,2,6,2
46,5,0,0,0,0,0,0,0,0.0,0,0,0
453,54,209,158,51,4,3,2,45,140.666666667,3,0,2
146,15,0,0,0,0,0,0,0,0.0,0,0,0
98,14,0,0,0,0,0,0,0,0.0,0,0,0
1357,172,88,64,24,3,1,1,0,0.0,0,0,0
245,19,246,246,0,1,1,1,91,104.0,1,1,1
99,13,14,7,7,2,1,0,0,0.0,0,0,0
47,4,0,0,0,0,0,0,0,0.0,0,0,0
40,3,0,0,0,0,0,0,0,0.0,0,0,0
281,37,0,0,0,0,0,0,0,0.0,0,0,0
184,24,0,0,0,0,0,0,0,0.0,0,0,0
216,28,0,0,0,0,0,0,0,0.0,0,0,0
51,5,0,0,0,0,0,0,0,0.0,0,0,0
221,28,12,12,0,1,1,0,0,0.0,0,0,0
291,31,0,0,0,0,0,0,24,111.0,1,4,1
129,18,9,7,2,2,1,2,12,111.0,1,4,1
741,101,201,118,83,4,2,3,135,123.666666667,6,2,6
42,3,0,0,0,0,0,0,0,0.0,0,0,0
252,42,3,2,1,2,1,2,63,142.333333333,3,7,3
34,2,35,35,0,1,1,1,9,217.0,1,2,1
255,33,0,0,0,0,0,0,0,0.0,0,0,0
122,17,0,0,0,0,0,0,0,0.0,0,0,0
135,14,0,0,0,0,0,0,0,0.0,0,0,0
46,2,0,0,0,0,0,0,0,0.0,0,0,0
56,6,0,0,0,0,0,0,0,0.0,0,0,0
149,12,0,0,0,0,0,0,0,0.0,0,0,0
81,5,0,0,0,0,0,0,0,0.0,0,0,0
1020,100,0,0,0,0,0,0,0,0.0,0,0,0
59,2,0,0,0,0,0,0,0,0.0,0,0,0
74,6,0,0,0,0,0,0,0,0.0,0,0,0
93,8,0,0,0,0,0,0,0,0.0,0,0,0
117,5,0,0,0,0,0,0,0,0.0,0,0,0
801,106,115,61,54,1,1,0,0,0.0,0,0,0
803,65,292,234,58,2,1,2,0,0.0,0,0,0
379,39,136,94,42,4,1,3,0,0.0,0,0,0
176,14,19,11,8,4,1,4,0,0.0,0,0,0
66,3,0,0,0,0,0,0,0,0.0,0,0,0
184,17,43,25,18,4,1,3,0,0.0,0,0,0
297,25,351,324,27,5,1,2,0,0.0,0,0,0
540,38,793,418,375,13,1,7,0,0.0,0,0,0
1880,203,1669,1038,631,23,1,14,0,0.0,0,0,0
119,10,119,119,0,1,1,1,0,0.0,0,0,0
136,14,196,66,130,5,1,2,0,0.0,0,0,0
115,9,0,0,0,0,0,0,0,0.0,0,0,0
97,11,0,0,0,0,0,0,0,0.0,0,0,0
132,9,20,16,4,1,1,0,0,0.0,0,0,0
77,5,77,77,0,1,1,0,0,0.0,0,0,0
50,2,50,50,0,1,1,0,0,0.0,0,0,0
115,7,115,115,0,1,1,0,0,0.0,0,0,0
114,8,114,114,0,1,1,0,0,0.0,0,0,0
227,19,227,227,0,1,1,0,0,0.0,0,0,0
173,13,173,173,0,1,1,0,0,0.0,0,0,0
62,4,62,62,0,1,1,0,0,0.0,0,0,0
97,7,97,97,0,1,1,0,0,0.0,0,0,0
98,12,98,98,0,1,1,0,0,0.0,0,0,0
218,29,218,218,0,1,1,0,0,0.0,0,0,0
167,13,181,174,7,2,1,0,0,0.0,0,0,0
215,15,221,199,22,5,2,0,0,0.0,0,0,0
78,9,78,78,0,1,1,0,0,0.0,0,0,0
64,3,64,64,0,1,1,0,0,0.0,0,0,0
112,11,101,82,19,3,2,0,0,0.0,0,0,0
104,10,104,104,0,2,2,0,0,0.0,0,0,0
156,12,156,156,0,2,2,0,0,0.0,0,0,0
83,1,83,83,0,1,1,0,0,0.0,0,0,0
79,9,79,79,0,1,1,0,0,0.0,0,0,0
91,7,97,64,33,2,1,0,0,0.0,0,0,0
68,5,96,46,50,3,2,0,0,0.0,0,0,0
53,3,0,0,0,0,0,0,0,0.0,0,0,0
70,8,2,1,1,1,1,0,0,0.0,0,0,0
226,33,2,1,1,1,1,0,0,0.0,0,0,0
90,6,97,69,28,4,1,0,0,0.0,0,0,0
87,7,2,1,1,1,1,0,0,0.0,0,0,0
1084,186,233,105,128,7,2,0,0,0.0,0,0,0
98,13,2,1,1,1,1,0,0,0.0,0,0,0
133,24,12,8,4,2,2,0,0,0.0,0,0,0
79,16,87,83,4,2,1,0,0,0.0,0,0,0
402,66,385,376,9,3,2,0,0,0.0,0,0,0
305,45,289,281,8,3,2,0,0,0.0,0,0,0
7,2,7,7,0,1,1,0,0,0.0,0,0,0
49,7,51,50,1,2,1,0,0,0.0,0,0,0
442,70,552,485,67,6,2,0,0,0.0,0,0,0
767,124,774,764,10,3,2,0,0,0.0,0,0,0
183,17,195,189,6,2,1,0,0,0.0,0,0,0
456,45,458,457,1,2,1,0,0,0.0,0,0,0
479,39,481,480,1,2,1,0,0,0.0,0,0,0
106,4,108,107,1,2,1,0,0,0.0,0,0,0
948,97,950,949,1,2,1,0,0,0.0,0,0,0
97,4,99,98,1,2,1,0,0,0.0,0,0,0
42,3,44,43,1,2,1,0,0,0.0,0,0,0
51,3,53,52,1,2,1,0,0,0.0,0,0,0
179,31,124,123,1,2,1,0,0,0.0,0,0,0
47,5,42,41,1,2,1,0,0,0.0,0,0,0
31,3,30,29,1,2,1,0,0,0.0,0,0,0
229,20,279,254,25,2,1,0,0,0.0,0,0,0
63,4,65,64,1,2,1,0,0,0.0,0,0,0
45,4,59,52,7,3,2,0,0,0.0,0,0,0
225,39,235,230,5,3,2,0,0,0.0,0,0,0
42,7,48,45,3,2,1,0,0,0.0,0,0,0
10,1,10,10,0,1,1,0,0,0.0,0,0,0
58,2,0,0,0,0,0,0,0,0.0,0,0,0
