$lines,$cyclomatic,$churn,$churn_adds,$churn_dels,$num_commits,$num_developers,$num_pre_release_issues,$changed_lines,$mean_experience,$post_num_commits,$num_cochanged_files,$>num_issues
89,9,0,0,0,0,0,0,0,0.0,0,0,0
94,9,0,0,0,0,0,0,0,0.0,0,0,0
463,84,0,0,0,0,0,0,0,0.0,0,0,0
126,12,0,0,0,0,0,0,0,0.0,0,0,0
71,5,0,0,0,0,0,0,0,0.0,0,0,0
1726,256,44,35,9,2,2,1,0,0.0,0,0,0
77,3,0,0,0,0,0,0,0,0.0,0,0,0
78,4,0,0,0,0,0,0,0,0.0,0,0,0
446,77,9,9,0,1,1,0,0,0.0,0,0,0
57,1,0,0,0,0,0,0,0,0.0,0,0,0
94,9,0,0,0,0,0,0,0,0.0,0,0,0
260,38,0,0,0,0,0,0,0,0.0,0,0,0
98,6,0,0,0,0,0,0,0,0.0,0,0,0
1298,204,0,0,0,0,0,0,15,212.5,2,1,2
317,41,0,0,0,0,0,0,0,0.0,0,0,0
97,12,0,0,0,0,0,0,0,0.0,0,0,0
64,3,0,0,0,0,0,0,0,0.0,0,0,0
129,11,0,0,0,0,0,0,0,0.0,0,0,0
81,6,0,0,0,0,0,0,0,0.0,0,0,0
48,1,0,0,0,0,0,0,0,0.0,0,0,0
74,3,0,0,0,0,0,0,0,0.0,0,0,0
157,27,0,0,0,0,0,0,0,0.0,0,0,0
186,22,0,0,0,0,0,0,0,0.0,0,0,0
113,9,0,0,0,0,0,0,0,0.0,0,0,0
93,9,0,0,0,0,0,0,0,0.0,0,0,0
75,5,0,0,0,0,0,0,0,0.0,0,0,0
68,3,0,0,0,0,0,0,0,0.0,0,0,0
161,21,0,0,0,0,0,0,0,0.0,0,0,0
87,7,0,0,0,0,0,0,0,0.0,0,0,0
87,5,0,0,0,0,0,0,0,0.0,0,0,0
79,5,0,0,0,0,0,0,0,0.0,0,0,0
316,34,0,0,0,0,0,0,0,0.0,0,0,0
810,118,42,21,21,3,3,1,37,215.0,1,1,1
