$lines,$cyclomatic,$churn,$churn_adds,$churn_dels,$num_commits,$num_developers,$num_pre_release_issues,$changed_lines,$mean_experience,$post_num_commits,$num_cochanged_files,$>num_issues
56,3,0,0,0,0,0,0,0,0.0,0,0,0
45,3,0,0,0,0,0,0,0,0.0,0,0,0
45,2,0,0,0,0,0,0,0,0.0,0,0,0
99,7,0,0,0,0,0,0,0,0.0,0,0,0
43,3,0,0,0,0,0,0,0,0.0,0,0,0
76,5,0,0,0,0,0,0,0,0.0,0,0,0
77,2,0,0,0,0,0,0,0,0.0,0,0,0
72,8,0,0,0,0,0,0,0,0.0,0,0,0
197,19,0,0,0,0,0,0,0,0.0,0,0,0
170,8,0,0,0,0,0,0,0,0.0,0,0,0
120,3,0,0,0,0,0,0,0,0.0,0,0,0
243,24,0,0,0,0,0,0,0,0.0,0,0,0
312,33,0,0,0,0,0,0,0,0.0,0,0,0
159,16,0,0,0,0,0,0,0,0.0,0,0,0
53,1,0,0,0,0,0,0,0,0.0,0,0,0
632,72,6,6,0,1,1,0,0,0.0,0,0,0
937,136,16,12,4,2,1,1,70,149.0,1,6,1
87,5,0,0,0,0,0,0,0,0.0,0,0,0
61,1,0,0,0,0,0,0,0,0.0,0,0,0
162,21,0,0,0,0,0,0,0,0.0,0,0,0
68,6,0,0,0,0,0,0,0,0.0,0,0,0
39,1,0,0,0,0,0,0,0,0.0,0,0,0
911,132,0,0,0,0,0,0,0,0.0,0,0,0
56,2,0,0,0,0,0,0,0,0.0,0,0,0
213,18,0,0,0,0,0,0,0,0.0,0,0,0
484,93,8,7,1,2,1,0,0,0.0,0,0,0
86,13,5,5,0,1,1,0,0,0.0,0,0,0
311,37,0,0,0,0,0,0,0,0.0,0,0,0
359,57,0,0,0,0,0,0,0,0.0,0,0,0
146,16,0,0,0,0,0,0,0,0.0,0,0,0
215,30,0,0,0,0,0,0,0,0.0,0,0,0
437,78,0,0,0,0,0,0,0,0.0,0,0,0
72,4,0,0,0,0,0,0,0,0.0,0,0,0
74,4,0,0,0,0,0,0,0,0.0,0,0,0
358,55,71,51,20,4,3,1,0,0.0,0,0,0
265,35,0,0,0,0,0,0,0,0.0,0,0,0
35,0,0,0,0,0,0,0,0,0.0,0,0,0
555,68,0,0,0,0,0,0,0,0.0,0,0,0
297,57,0,0,0,0,0,0,0,0.0,0,0,0
45,0,0,0,0,0,0,0,0,0.0,0,0,0
378,62,86,22,64,1,1,0,0,0.0,0,0,0
180,29,0,0,0,0,0,0,0,0.0,0,0,0
128,15,5,2,3,1,1,1,0,0.0,0,0,0
61,3,0,0,0,0,0,0,0,0.0,0,0,0
65,4,0,0,0,0,0,0,0,0.0,0,0,0
161,15,0,0,0,0,0,0,19,28.5,2,6,1
244,27,0,0,0,0,0,0,0,0.0,0,0,0
448,82,0,0,0,0,0,0,0,0.0,0,0,0
54,3,0,0,0,0,0,0,0,0.0,0,0,0
41,1,0,0,0,0,0,0,0,0.0,0,0,0
107,11,0,0,0,0,0,0,0,0.0,0,0,0
1747,299,145,115,30,9,6,5,40,93.5,2,8,2
1069,206,0,0,0,0,0,0,6,104.0,1,1,1
46,0,0,0,0,0,0,0,0,0.0,0,0,0
465,98,0,0,0,0,0,0,0,0.0,0,0,0
136,17,0,0,0,0,0,0,0,0.0,0,0,0
423,51,0,0,0,0,0,0,0,0.0,0,0,0
221,30,0,0,0,0,0,0,0,0.0,0,0,0
460,73,0,0,0,0,0,0,0,0.0,0,0,0
215,31,9,6,3,2,2,2,0,0.0,0,0,0
57,4,0,0,0,0,0,0,0,0.0,0,0,0
429,74,45,28,17,3,1,1,0,0.0,0,0,0
440,79,90,78,12,6,2,5,13,89.5,2,6,2
53,2,0,0,0,0,0,0,0,0.0,0,0,0
163,20,0,0,0,0,0,0,0,0.0,0,0,0
47,3,0,0,0,0,0,0,0,0.0,0,0,0
308,48,16,4,12,1,1,0,0,0.0,0,0,0
82,4,0,0,0,0,0,0,0,0.0,0,0,0
130,19,0,0,0,0,0,0,0,0.0,0,0,0
406,55,0,0,0,0,0,0,0,0.0,0,0,0
158,26,3,1,2,1,1,1,0,0.0,0,0,0
966,123,2,1,1,1,1,1,25,42.0,1,1,1
43,2,0,0,0,0,0,0,0,0.0,0,0,0
206,21,0,0,0,0,0,0,0,0.0,0,0,0
59,5,0,0,0,0,0,0,0,0.0,0,0,0
122,19,0,0,0,0,0,0,0,0.0,0,0,0
167,28,0,0,0,0,0,0,0,0.0,0,0,0
37,2,0,0,0,0,0,0,0,0.0,0,0,0
84,9,0,0,0,0,0,0,0,0.0,0,0,0
37,2,0,0,0,0,0,0,0,0.0,0,0,0
214,40,0,0,0,0,0,0,0,0.0,0,0,0
44,3,0,0,0,0,0,0,0,0.0,0,0,0
49,2,0,0,0,0,0,0,0,0.0,0,0,0
73,7,0,0,0,0,0,0,0,0.0,0,0,0
75,7,0,0,0,0,0,0,0,0.0,0,0,0
193,33,0,0,0,0,0,0,0,0.0,0,0,0
