$lines,$cyclomatic,$churn,$churn_adds,$churn_dels,$num_commits,$num_developers,$num_pre_release_issues,$changed_lines,$mean_experience,$post_num_commits,$num_cochanged_files,$>num_issues
379,35,0,0,0,0,0,0,0,0.0,0,0,0
59,6,0,0,0,0,0,0,0,0.0,0,0,0
60,6,0,0,0,0,0,0,0,0.0,0,0,0
59,6,0,0,0,0,0,0,0,0.0,0,0,0
59,6,0,0,0,0,0,0,0,0.0,0,0,0
74,6,0,0,0,0,0,0,0,0.0,0,0,0
186,18,0,0,0,0,0,0,0,0.0,0,0,0
93,7,0,0,0,0,0,0,0,0.0,0,0,0
111,5,0,0,0,0,0,0,0,0.0,0,0,0
104,4,0,0,0,0,0,0,0,0.0,0,0,0
104,4,0,0,0,0,0,0,0,0.0,0,0,0
124,4,0,0,0,0,0,0,0,0.0,0,0,0
120,4,0,0,0,0,0,0,0,0.0,0,0,0
119,4,0,0,0,0,0,0,0,0.0,0,0,0
123,4,0,0,0,0,0,0,0,0.0,0,0,0
118,4,0,0,0,0,0,0,0,0.0,0,0,0
120,4,0,0,0,0,0,0,0,0.0,0,0,0
74,1,0,0,0,0,0,0,0,0.0,0,0,0
111,4,0,0,0,0,0,0,0,0.0,0,0,0
111,4,0,0,0,0,0,0,0,0.0,0,0,0
111,4,0,0,0,0,0,0,0,0.0,0,0,0
112,4,0,0,0,0,0,0,0,0.0,0,0,0
112,4,0,0,0,0,0,0,0,0.0,0,0,0
113,4,0,0,0,0,0,0,0,0.0,0,0,0
113,4,0,0,0,0,0,0,0,0.0,0,0,0
93,11,0,0,0,0,0,0,0,0.0,0,0,0
97,13,0,0,0,0,0,0,0,0.0,0,0,0
90,11,0,0,0,0,0,0,0,0.0,0,0,0
109,6,0,0,0,0,0,0,0,0.0,0,0,0
62,1,0,0,0,0,0,0,0,0.0,0,0,0
60,1,0,0,0,0,0,0,0,0.0,0,0,0
60,1,0,0,0,0,0,0,0,0.0,0,0,0
54,1,0,0,0,0,0,0,0,0.0,0,0,0
37,1,0,0,0,0,0,0,0,0.0,0,0,0
61,1,0,0,0,0,0,0,0,0.0,0,0,0
61,1,0,0,0,0,0,0,0,0.0,0,0,0
59,1,0,0,0,0,0,0,0,0.0,0,0,0
61,1,0,0,0,0,0,0,0,0.0,0,0,0
87,4,0,0,0,0,0,0,0,0.0,0,0,0
72,6,0,0,0,0,0,0,0,0.0,0,0,0
83,4,0,0,0,0,0,0,0,0.0,0,0,0
70,6,0,0,0,0,0,0,0,0.0,0,0,0
80,4,0,0,0,0,0,0,0,0.0,0,0,0
79,4,0,0,0,0,0,0,0,0.0,0,0,0
