$lines,$cyclomatic,$churn,$churn_adds,$churn_dels,$num_commits,$num_developers,$num_pre_release_issues,$changed_lines,$mean_experience,$post_num_commits,$num_cochanged_files,$>num_issues
1,0,145,87,58,3,2,0,0,0.0,0,0,0
0,0,135,81,54,3,2,0,0,0.0,0,0,0
247,22,140,105,35,6,1,0,0,0.0,0,0,0
100,4,4,1,3,1,1,0,0,0.0,0,0,0
120,5,14,7,7,2,1,0,3,31.0,1,0,1
286,19,14,14,0,2,1,0,0,0.0,0,0,0
232,12,24,14,10,3,2,0,0,0.0,0,0,0
67,2,70,51,19,7,2,0,0,0.0,0,0,0
271,15,556,278,278,4,2,0,18,32.0,1,0,1
187,12,350,208,142,18,3,3,0,0.0,0,0,0
646,55,902,562,340,38,5,8,5,24.0,1,0,1
478,45,673,428,245,25,6,3,16,72.0,1,0,1
46,2,0,0,0,0,0,0,0,0.0,0,0,0
191,10,76,37,39,4,3,2,45,50.0,1,1,1
522,42,195,135,60,18,6,7,64,29.0,1,0,1
213,15,19,15,4,1,1,0,30,50.5,2,1,2
102,7,112,105,7,4,2,0,0,0.0,0,0,0
62,3,59,59,0,1,1,0,0,0.0,0,0,0
73,3,0,0,0,0,0,0,0,0.0,0,0,0
70,3,0,0,0,0,0,0,0,0.0,0,0,0
45,1,48,15,33,1,1,0,0,0.0,0,0,0
132,8,22,21,1,2,2,1,0,0.0,0,0,0
102,6,13,10,3,2,2,0,0,0.0,0,0,0
95,6,0,0,0,0,0,0,0,0.0,0,0,0
44,1,8,4,4,1,1,0,0,0.0,0,0,0
125,8,46,29,17,3,3,0,0,0.0,0,0,0
174,12,63,44,19,2,2,0,0,0.0,0,0,0
93,3,42,27,15,1,1,0,0,0.0,0,0,0
45,1,0,0,0,0,0,0,0,0.0,0,0,0
157,14,0,0,0,0,0,0,0,0.0,0,0,0
136,7,45,36,9,4,2,0,11,75.0,1,0,2
98,6,7,1,6,1,1,0,0,0.0,0,0,0
191,17,0,0,0,0,0,0,0,0.0,0,0,0
1037,83,201,133,68,10,4,3,0,0.0,0,0,0
131,8,2,1,1,1,1,0,0,0.0,0,0,0
128,7,0,0,0,0,0,0,0,0.0,0,0,0
96,3,6,3,3,1,1,0,0,0.0,0,0,0
90,5,5,5,0,1,1,0,0,0.0,0,0,0
77,3,0,0,0,0,0,0,0,0.0,0,0,0
88,5,0,0,0,0,0,0,0,0.0,0,0,0
300,24,326,108,218,6,3,2,0,0.0,0,0,0
99,5,0,0,0,0,0,0,0,0.0,0,0,0
115,10,0,0,0,0,0,0,0,0.0,0,0,0
148,10,149,149,0,1,1,0,0,0.0,0,0,0
111,5,0,0,0,0,0,0,0,0.0,0,0,0
60,3,5,3,2,1,1,0,0,0.0,0,0,0
62,3,0,0,0,0,0,0,0,0.0,0,0,0
189,11,73,15,58,1,1,0,0,0.0,0,0,0
104,8,0,0,0,0,0,0,0,0.0,0,0,0
112,6,0,0,0,0,0,0,0,0.0,0,0,0
124,14,125,125,0,1,1,0,0,0.0,0,0,0
40,1,0,0,0,0,0,0,0,0.0,0,0,0
98,6,100,100,0,1,1,0,0,0.0,0,0,0
35,1,36,36,0,1,1,0,0,0.0,0,0,0
35,1,36,36,0,1,1,0,0,0.0,0,0,0
81,5,95,89,6,2,2,1,0,0.0,0,0,0
90,6,75,26,49,4,2,0,0,0.0,0,0,0
78,5,56,32,24,2,2,0,0,0.0,0,0,0
314,26,0,0,0,0,0,0,0,0.0,0,0,0
170,8,39,22,17,2,2,0,0,0.0,0,0,0
625,50,212,146,66,8,4,1,0,0.0,0,0,0
150,12,113,73,40,6,5,0,0,0.0,0,0,0
66,4,0,0,0,0,0,0,0,0.0,0,0,0
209,25,6,3,3,2,2,1,0,0.0,0,0,0
69,4,0,0,0,0,0,0,0,0.0,0,0,0
46,2,0,0,0,0,0,0,0,0.0,0,0,0
226,20,247,135,112,4,2,1,0,0.0,0,0,0
89,5,2,1,1,1,1,0,0,0.0,0,0,0
148,10,12,5,7,3,2,1,0,0.0,0,0,0
187,14,0,0,0,0,0,0,0,0.0,0,0,0
191,14,47,19,28,1,1,0,0,0.0,0,0,0
143,6,0,0,0,0,0,0,0,0.0,0,0,0
71,1,0,0,0,0,0,0,0,0.0,0,0,0
74,4,0,0,0,0,0,0,0,0.0,0,0,0
61,2,0,0,0,0,0,0,0,0.0,0,0,0
43,2,0,0,0,0,0,0,0,0.0,0,0,0
93,4,6,4,2,1,1,0,0,0.0,0,0,0
343,24,0,0,0,0,0,0,0,0.0,0,0,0
108,9,10,9,1,1,1,0,0,0.0,0,0,0
69,3,0,0,0,0,0,0,0,0.0,0,0,0
385,31,61,55,6,2,2,0,0,0.0,0,0,0
89,3,5,2,3,1,1,0,0,0.0,0,0,0
50,2,0,0,0,0,0,0,0,0.0,0,0,0
120,7,20,17,3,2,2,0,0,0.0,0,0,0
56,3,2,1,1,1,1,0,0,0.0,0,0,0
32,0,97,65,32,3,2,0,0,0.0,0,0,0
33,1,32,32,0,2,1,0,0,0.0,0,0,0
97,4,16,8,8,1,1,0,0,0.0,0,0,0
184,18,178,148,30,8,3,1,0,0.0,0,0,0
82,3,0,0,0,0,0,0,0,0.0,0,0,0
107,5,12,6,6,2,2,0,0,0.0,0,0,0
75,5,0,0,0,0,0,0,0,0.0,0,0,0
142,7,33,25,8,1,1,0,0,0.0,0,0,0
137,10,12,11,1,1,1,0,0,0.0,0,0,0
188,12,24,20,4,2,2,0,0,0.0,0,0,0
69,3,0,0,0,0,0,0,0,0.0,0,0,0
115,9,66,22,44,2,2,0,0,0.0,0,0,0
59,2,2,1,1,1,1,1,0,0.0,0,0,0
64,2,0,0,0,0,0,0,0,0.0,0,0,0
108,5,0,0,0,0,0,0,2,98.0,1,0,1
94,5,0,0,0,0,0,0,0,0.0,0,0,0
60,2,2,1,1,1,1,0,0,0.0,0,0,0
50,1,0,0,0,0,0,0,0,0.0,0,0,0
40,1,0,0,0,0,0,0,0,0.0,0,0,0
61,2,0,0,0,0,0,0,0,0.0,0,0,0
79,4,0,0,0,0,0,0,0,0.0,0,0,0
101,10,5,2,3,1,1,0,0,0.0,0,0,0
83,6,0,0,0,0,0,0,0,0.0,0,0,0
104,7,16,7,9,2,1,0,0,0.0,0,0,0
60,3,0,0,0,0,0,0,0,0.0,0,0,0
44,2,0,0,0,0,0,0,0,0.0,0,0,0
67,4,0,0,0,0,0,0,0,0.0,0,0,0
330,23,135,84,51,4,3,0,0,0.0,0,0,0
622,47,655,639,16,2,2,0,0,0.0,0,0,0
144,8,916,153,763,5,3,0,0,0.0,0,0,0
109,7,0,0,0,0,0,0,0,0.0,0,0,0
