$lines,$cyclomatic,$churn,$churn_adds,$churn_dels,$num_commits,$num_developers,$num_pre_release_issues,$changed_lines,$mean_experience,$post_num_commits,$num_cochanged_files,$>num_issues
1,0,17,1,16,1,1,0,0,0.0,0,0,0
0,0,20,12,8,1,1,0,0,0.0,0,0,0
49,1,3,0,3,1,1,0,0,0.0,0,0,0
45,1,0,0,0,0,0,0,0,0.0,0,0,0
51,2,0,0,0,0,0,0,0,0.0,0,0,0
53,1,0,0,0,0,0,0,0,0.0,0,0,0
180,17,0,0,0,0,0,0,0,0.0,0,0,0
77,5,0,0,0,0,0,0,0,0.0,0,0,0
116,9,0,0,0,0,0,0,0,0.0,0,0,0
198,21,0,0,0,0,0,0,0,0.0,0,0,0
34,1,0,0,0,0,0,0,0,0.0,0,0,0
111,11,0,0,0,0,0,0,0,0.0,0,0,0
437,36,0,0,0,0,0,0,0,0.0,0,0,0
437,31,10,6,4,1,1,0,0,0.0,0,0,0
99,4,5,3,2,2,2,0,6,390.0,1,0,1
91,6,35,26,9,3,1,0,0,0.0,0,0,0
72,4,0,0,0,0,0,0,0,0.0,0,0,0
74,6,0,0,0,0,0,0,0,0.0,0,0,0
47,2,1,1,0,1,1,0,0,0.0,0,0,0
129,12,0,0,0,0,0,0,0,0.0,0,0,0
79,5,35,26,9,3,1,0,0,0.0,0,0,0
60,3,0,0,0,0,0,0,0,0.0,0,0,0
65,3,3,3,0,1,1,0,0,0.0,0,0,0
72,5,3,3,0,1,1,0,0,0.0,0,0,0
35,1,0,0,0,0,0,0,0,0.0,0,0,0
104,7,16,14,2,1,1,0,0,0.0,0,0,0
118,8,6,5,1,1,1,0,0,0.0,0,0,0
302,23,6,3,3,1,1,0,0,0.0,0,0,0
64,4,132,66,66,2,1,1,0,0.0,0,0,0
161,12,4,2,2,1,1,1,0,0.0,0,0,0
117,8,14,6,8,2,1,2,0,0.0,0,0,0
51,2,0,0,0,0,0,0,0,0.0,0,0,0
49,2,0,0,0,0,0,0,0,0.0,0,0,0
321,23,15,10,5,2,1,2,5,331.0,1,4,1
89,7,0,0,0,0,0,0,11,380.0,1,3,1
41,1,0,0,0,0,0,0,0,0.0,0,0,0
42,1,0,0,0,0,0,0,0,0.0,0,0,0
145,16,0,0,0,0,0,0,0,0.0,0,0,0
142,16,0,0,0,0,0,0,7,380.0,1,3,1
69,3,0,0,0,0,0,0,4,380.0,1,3,1
60,1,0,0,0,0,0,0,0,0.0,0,0,0
56,1,0,0,0,0,0,0,0,0.0,0,0,0
145,13,0,0,0,0,0,0,0,0.0,0,0,0
164,14,0,0,0,0,0,0,0,0.0,0,0,0
345,27,0,0,0,0,0,0,0,0.0,0,0,0
1610,139,121,81,40,14,4,4,2,546.0,1,1,1
388,29,110,57,53,3,2,0,0,0.0,0,0,0
307,48,6,5,1,2,2,1,0,0.0,0,0,0
4444,440,545,285,260,34,6,15,49,487.25,4,5,3
112,10,0,0,0,0,0,0,0,0.0,0,0,0
321,46,110,70,40,4,2,1,0,0.0,0,0,0
322,32,0,0,0,0,0,0,0,0.0,0,0,0
260,19,14,8,6,3,2,0,0,0.0,0,0,0
193,20,44,28,16,5,2,2,0,0.0,0,0,0
133,12,2,1,1,1,1,1,0,0.0,0,0,0
86,6,74,42,32,7,2,1,5,363.0,1,0,1
42,1,42,42,0,1,1,0,0,0.0,0,0,0
44,1,0,0,0,0,0,0,0,0.0,0,0,0
44,1,0,0,0,0,0,0,0,0.0,0,0,0
50,2,0,0,0,0,0,0,0,0.0,0,0,0
51,1,15,14,1,1,1,0,0,0.0,0,0,0
56,2,12,8,4,1,1,0,0,0.0,0,0,0
81,3,12,12,0,1,1,0,0,0.0,0,0,0
27,0,0,0,0,0,0,0,0,0.0,0,0,0
30,0,0,0,0,0,0,0,0,0.0,0,0,0
34,1,0,0,0,0,0,0,0,0.0,0,0,0
30,0,0,0,0,0,0,0,0,0.0,0,0,0
34,0,0,0,0,0,0,0,0,0.0,0,0,0
47,1,0,0,0,0,0,0,0,0.0,0,0,0
44,1,0,0,0,0,0,0,0,0.0,0,0,0
62,3,7,7,0,1,1,0,0,0.0,0,0,0
601,61,65,33,32,5,3,2,7,537.0,1,0,1
2094,244,302,164,138,18,4,9,53,165.0,2,2,2
56,2,0,0,0,0,0,0,0,0.0,0,0,0
160,16,24,17,7,1,1,0,0,0.0,0,0,0
1053,108,349,86,263,16,5,5,0,0.0,0,0,0
94,8,0,0,0,0,0,0,0,0.0,0,0,0
350,27,61,22,39,5,3,1,0,0.0,0,0,0
199,20,11,7,4,2,1,2,54,361.666666667,3,10,3
95,4,42,31,11,3,1,1,5,458.0,2,1,2
29,2,0,0,0,0,0,0,0,0.0,0,0,0
881,79,102,74,28,9,3,5,2,331.0,1,4,1
162,8,42,37,5,2,1,1,0,0.0,0,0,0
103,7,32,26,6,3,2,0,2,324.0,1,8,1
152,15,10,10,0,1,1,0,0,0.0,0,0,0
59,4,0,0,0,0,0,0,0,0.0,0,0,0
176,16,5,0,5,1,1,0,0,0.0,0,0,0
344,31,79,35,44,8,1,1,0,0.0,0,0,0
222,16,13,1,12,1,1,0,0,0.0,0,0,0
1377,137,226,129,97,8,5,4,0,0.0,0,0,0
29,0,30,30,0,1,1,0,0,0.0,0,0,0
64,3,0,0,0,0,0,0,0,0.0,0,0,0
101,3,6,6,0,1,1,0,0,0.0,0,0,0
41,1,0,0,0,0,0,0,0,0.0,0,0,0
101,1,0,0,0,0,0,0,0,0.0,0,0,0
40,1,0,0,0,0,0,0,0,0.0,0,0,0
56,3,0,0,0,0,0,0,0,0.0,0,0,0
87,4,0,0,0,0,0,0,0,0.0,0,0,0
111,10,0,0,0,0,0,0,0,0.0,0,0,0
103,10,0,0,0,0,0,0,0,0.0,0,0,0
64,3,0,0,0,0,0,0,0,0.0,0,0,0
196,14,15,12,3,1,1,0,0,0.0,0,0,0
211,18,8,1,7,1,1,0,0,0.0,0,0,0
224,20,32,21,11,1,1,1,0,0.0,0,0,0
125,9,0,0,0,0,0,0,0,0.0,0,0,0
61,3,15,7,8,1,1,1,0,0.0,0,0,0
146,11,20,18,2,1,1,0,0,0.0,0,0,0
185,17,20,18,2,1,1,0,0,0.0,0,0,0
38,1,0,0,0,0,0,0,0,0.0,0,0,0
199,15,0,0,0,0,0,0,0,0.0,0,0,0
75,4,0,0,0,0,0,0,0,0.0,0,0,0
162,15,0,0,0,0,0,0,0,0.0,0,0,0
180,18,6,6,0,1,1,1,0,0.0,0,0,0
85,3,0,0,0,0,0,0,0,0.0,0,0,0
109,6,0,0,0,0,0,0,0,0.0,0,0,0
130,6,21,20,1,1,1,0,0,0.0,0,0,0
95,5,22,21,1,1,1,0,0,0.0,0,0,0
159,8,0,0,0,0,0,0,0,0.0,0,0,0
184,20,185,185,0,1,1,0,30,375.0,1,0,1
42,2,0,0,0,0,0,0,0,0.0,0,0,0
40,2,0,0,0,0,0,0,0,0.0,0,0,0
40,2,0,0,0,0,0,0,0,0.0,0,0,0
43,2,0,0,0,0,0,0,0,0.0,0,0,0
142,10,147,145,2,2,1,0,0,0.0,0,0,0
46,2,193,32,161,2,1,1,0,0.0,0,0,0
42,2,42,42,0,1,1,0,0,0.0,0,0,0
49,2,0,0,0,0,0,0,0,0.0,0,0,0
38,1,0,0,0,0,0,0,0,0.0,0,0,0
41,1,0,0,0,0,0,0,0,0.0,0,0,0
35,1,0,0,0,0,0,0,0,0.0,0,0,0
36,1,0,0,0,0,0,0,0,0.0,0,0,0
374,35,0,0,0,0,0,0,0,0.0,0,0,0
447,37,0,0,0,0,0,0,0,0.0,0,0,0
54,3,2,1,1,1,1,1,0,0.0,0,0,0
153,14,0,0,0,0,0,0,0,0.0,0,0,0
57,4,0,0,0,0,0,0,0,0.0,0,0,0
105,3,0,0,0,0,0,0,0,0.0,0,0,0
66,4,0,0,0,0,0,0,0,0.0,0,0,0
95,4,0,0,0,0,0,0,0,0.0,0,0,0
37,1,0,0,0,0,0,0,0,0.0,0,0,0
67,3,0,0,0,0,0,0,0,0.0,0,0,0
58,2,0,0,0,0,0,0,0,0.0,0,0,0
85,8,4,1,3,1,1,0,0,0.0,0,0,0
73,4,0,0,0,0,0,0,0,0.0,0,0,0
46,2,0,0,0,0,0,0,0,0.0,0,0,0
87,5,0,0,0,0,0,0,0,0.0,0,0,0
129,7,0,0,0,0,0,0,0,0.0,0,0,0
156,13,4,2,2,1,1,0,0,0.0,0,0,0
110,6,0,0,0,0,0,0,0,0.0,0,0,0
173,13,98,79,19,2,1,1,0,0.0,0,0,0
224,14,104,67,37,8,4,1,0,0.0,0,0,0
40,1,0,0,0,0,0,0,0,0.0,0,0,0
62,3,0,0,0,0,0,0,0,0.0,0,0,0
86,5,2,1,1,1,1,0,2,30.0,1,0,1
27,0,0,0,0,0,0,0,0,0.0,0,0,0
114,2,12,12,0,1,1,1,0,0.0,0,0,0
52,5,0,0,0,0,0,0,0,0.0,0,0,0
32,1,0,0,0,0,0,0,0,0.0,0,0,0
41,1,0,0,0,0,0,0,0,0.0,0,0,0
52,2,0,0,0,0,0,0,0,0.0,0,0,0
60,3,15,6,9,1,1,1,0,0.0,0,0,0
55,2,10,8,2,1,1,0,0,0.0,0,0,0
271,19,97,55,42,3,1,0,0,0.0,0,0,0
380,35,265,146,119,5,1,0,0,0.0,0,0,0
177,14,0,0,0,0,0,0,0,0.0,0,0,0
31,0,0,0,0,0,0,0,0,0.0,0,0,0
46,2,0,0,0,0,0,0,0,0.0,0,0,0
35,1,0,0,0,0,0,0,0,0.0,0,0,0
28,0,0,0,0,0,0,0,0,0.0,0,0,0
456,41,55,22,33,1,1,2,0,0.0,0,0,0
949,91,59,40,19,5,3,1,0,0.0,0,0,0
127,10,2,1,1,1,1,1,0,0.0,0,0,0
88,7,22,11,11,1,1,0,0,0.0,0,0,0
103,5,0,0,0,0,0,0,0,0.0,0,0,0
237,20,0,0,0,0,0,0,0,0.0,0,0,0
99,9,0,0,0,0,0,0,0,0.0,0,0,0
73,5,0,0,0,0,0,0,0,0.0,0,0,0
48,1,0,0,0,0,0,0,0,0.0,0,0,0
72,5,2,1,1,1,1,1,0,0.0,0,0,0
54,1,3,3,0,1,1,0,0,0.0,0,0,0
275,31,118,86,32,6,2,1,0,0.0,0,0,0
722,84,219,136,83,4,2,3,0,0.0,0,0,0
78,5,0,0,0,0,0,0,0,0.0,0,0,0
136,10,11,9,2,1,1,0,0,0.0,0,0,0
475,35,43,30,13,2,2,0,0,0.0,0,0,0
232,30,9,2,7,1,1,1,63,352.0,2,1,1
141,14,0,0,0,0,0,0,0,0.0,0,0,0
51,2,0,0,0,0,0,0,0,0.0,0,0,0
233,16,2,2,0,1,1,0,0,0.0,0,0,0
384,41,14,7,7,3,1,1,0,0.0,0,0,0
565,69,0,0,0,0,0,0,0,0.0,0,0,0
80,4,2,1,1,1,1,0,0,0.0,0,0,0
430,45,2,1,1,1,1,0,0,0.0,0,0,0
116,10,0,0,0,0,0,0,0,0.0,0,0,0
180,21,37,37,0,1,1,1,0,0.0,0,0,0
52,2,0,0,0,0,0,0,0,0.0,0,0,0
203,18,13,2,11,2,1,0,0,0.0,0,0,0
199,29,38,38,0,4,1,1,0,0.0,0,0,0
115,7,119,117,2,2,1,0,0,0.0,0,0,0
97,4,0,0,0,0,0,0,0,0.0,0,0,0
55,1,55,55,0,1,1,0,0,0.0,0,0,0
54,1,25,11,14,3,3,1,0,0.0,0,0,0
347,27,125,118,7,5,2,1,0,0.0,0,0,0
42,1,0,0,0,0,0,0,0,0.0,0,0,0
42,1,0,0,0,0,0,0,0,0.0,0,0,0
73,5,0,0,0,0,0,0,0,0.0,0,0,0
196,15,0,0,0,0,0,0,0,0.0,0,0,0
427,36,4,3,1,1,1,1,0,0.0,0,0,0
61,3,12,11,1,1,1,1,0,0.0,0,0,0
57,3,0,0,0,0,0,0,0,0.0,0,0,0
69,4,0,0,0,0,0,0,0,0.0,0,0,0
323,24,50,31,19,9,4,2,0,0.0,0,0,0
42,1,0,0,0,0,0,0,0,0.0,0,0,0
80,2,3,2,1,2,2,2,0,0.0,0,0,0
163,13,0,0,0,0,0,0,0,0.0,0,0,0
129,6,13,11,2,1,1,0,0,0.0,0,0,0
90,5,0,0,0,0,0,0,0,0.0,0,0,0
102,3,0,0,0,0,0,0,0,0.0,0,0,0
515,39,16,9,7,4,2,1,0,0.0,0,0,0
266,23,0,0,0,0,0,0,0,0.0,0,0,0
129,6,0,0,0,0,0,0,0,0.0,0,0,0
35,1,0,0,0,0,0,0,0,0.0,0,0,0
27,0,1,0,1,1,1,0,0,0.0,0,0,0
