$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,$<bug
2,2,6,7,4,0,6,1,1,0.0,13,1.0,1,0.666666667,0.75,0,0,5.0,1,0.5,0
3,2,5,7,4,1,6,1,2,0.5,16,1.0,0,0.75,0.555555556,0,0,4.0,1,0.6667,0
2,2,7,8,4,0,7,1,1,0.0,13,1.0,1,0.75,0.75,0,0,5.0,1,0.5,1
0,1,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1
3,7,0,5,6,3,1,4,1,2.0,31,0.0,0,0.985185185,0.555555556,3,5,9.333333333,2,1.0,0
3,7,0,4,6,3,1,3,1,2.0,31,0.0,0,0.985185185,0.555555556,3,5,9.333333333,2,1.0,0
3,7,0,4,6,3,1,3,1,2.0,31,0.0,0,0.985185185,0.555555556,3,5,9.333333333,2,1.0,1
0,1,0,0,0,0,0,0,0,2.0,7,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
5,3,3,4,7,4,4,0,5,0.5,29,1.0,0,0.944444444,0.6,0,0,4.6,1,0.2,1
4,4,8,12,5,0,8,4,3,0.333333333,18,1.0,1,0.921052632,0.4375,0,0,3.25,1,0.75,0
4,4,8,12,5,0,8,4,3,0.333333333,18,1.0,1,0.921052632,0.4375,0,0,3.25,1,0.75,0
1,1,0,4,2,0,3,1,1,2.0,16,0.0,1,0.0,1.0,0,0,12.0,0,0.0,1
4,2,0,4,8,0,0,4,4,0.916666667,69,0.0,1,0.571428571,0.5,0,0,15.25,4,2.0,1
9,1,0,4,19,20,1,3,9,0.1875,82,1.0,1,0.0,0.317460317,0,0,7.888888889,2,1.0,1
1,4,0,3,2,0,2,1,1,2.0,5,0.0,0,1.0,1.0,0,0,3.0,0,0.0,1
8,3,0,10,15,0,6,4,5,0.595238095,110,0.833333333,2,0.833333333,0.571428571,0,0,12.0,2,1.375,0
1,1,0,5,1,0,4,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
5,2,0,2,18,0,1,1,5,0.375,83,0.0,0,0.5,0.466666667,1,1,15.2,1,0.8,0
2,2,0,4,3,1,3,1,1,1.0,10,0.0,0,0.944444444,0.75,0,0,3.5,1,0.5,0
3,1,0,2,13,1,1,1,3,1.441176471,76,0.058823529,1,0.0,0.5,0,0,18.66666667,4,1.6667,0
3,3,0,4,11,0,0,4,3,0.0,35,1.0,1,0.9375,0.666666667,0,0,10.33333333,2,1.0,0
4,3,0,3,7,0,0,3,4,0.0,26,1.0,0,0.869565217,0.625,0,0,5.25,1,0.75,0
2,3,0,4,6,0,0,4,2,0.0,35,1.0,1,0.8,0.75,0,0,16.0,1,0.5,1
2,3,0,4,6,0,0,4,2,0.0,35,1.0,1,0.75,0.75,0,0,16.0,1,0.5,0
3,3,0,3,10,0,0,3,3,0.0,32,1.0,0,0.948717949,0.666666667,0,0,9.333333333,1,0.6667,0
3,3,0,3,10,0,0,3,3,0.0,32,1.0,0,0.948717949,0.666666667,0,0,9.333333333,1,0.6667,0
3,3,0,3,10,0,0,3,3,0.0,32,1.0,0,0.948717949,0.666666667,0,0,9.333333333,1,0.6667,0
3,3,0,2,6,1,0,2,3,0.5,29,1.0,0,0.948717949,0.666666667,0,0,8.333333333,1,0.6667,0
4,3,1,3,5,4,1,2,4,0.666666667,17,1.0,0,0.925,0.625,0,0,3.0,1,0.75,0
5,1,0,6,6,4,6,0,4,0.75,32,1.0,0,0.0,0.466666667,0,0,4.8,1,0.6,1
0,1,0,0,0,0,0,0,0,2.0,4,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
1,1,0,5,2,0,4,1,1,2.0,16,0.0,1,0.0,1.0,0,0,12.0,0,0.0,1
2,2,0,7,6,0,1,6,2,0.0,23,1.0,1,0.923076923,0.625,0,0,10.0,2,1.0,0
2,2,0,7,6,0,1,6,2,0.0,23,1.0,1,0.923076923,0.625,0,0,10.0,2,1.0,1
4,2,0,6,10,4,1,5,2,0.666666667,27,1.0,1,0.5,0.5,0,0,5.5,1,0.5,0
4,2,0,6,10,4,1,5,2,0.666666667,27,1.0,1,0.5,0.5,0,0,5.5,1,0.5,0
5,2,0,6,7,4,1,5,5,0.5,22,1.0,0,0.555555556,0.325,0,0,3.2,1,0.8,1
5,2,0,6,7,4,1,5,5,0.5,22,1.0,0,0.555555556,0.325,0,0,3.2,1,0.8,1
5,2,0,6,7,4,1,5,5,0.5,22,1.0,0,0.555555556,0.325,0,0,3.2,1,0.8,0
1,4,0,2,2,0,1,1,1,2.0,4,0.0,0,1.0,1.0,0,0,3.0,0,0.0,0
2,2,0,2,4,1,1,1,2,1.0,14,1.0,0,0.966666667,0.75,0,0,5.5,1,0.5,0
5,2,0,4,11,10,0,4,5,2.0,44,0.0,0,0.6,0.9,1,1,7.8,2,1.0,0
