$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,$<bug
1,1,0,3,1,0,3,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
3,1,0,1,3,3,1,0,3,1.5,4,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,0
6,2,0,4,17,0,0,4,4,0.0,80,1.0,0,0.722222222,0.444444444,1,1,12.16666667,3,1.1667,0
4,2,0,4,16,0,0,4,4,0.333333333,59,1.0,0,0.842105263,0.875,1,1,13.5,5,1.75,0
4,2,0,4,16,0,0,4,4,0.333333333,59,1.0,0,0.842105263,0.875,1,1,13.5,5,1.75,0
4,2,0,4,17,0,0,4,4,0.333333333,57,1.0,0,0.842105263,0.875,1,1,13.0,5,1.75,1
6,1,0,4,6,15,4,0,6,1.2,18,0.0,0,0.0,0.533333333,0,0,0.0,1,1.0,0
5,1,0,1,14,10,1,0,5,1.25,57,0.0,0,0.0,0.45,0,0,10.2,1,0.8,1
9,2,0,10,13,0,1,9,9,0.25,92,1.0,1,0.333333333,0.355555556,0,0,9.0,1,0.6667,1
8,3,0,19,18,4,6,13,5,0.571428571,75,1.0,0,0.922077922,0.325,2,8,8.125,1,0.75,0
8,3,0,18,18,4,7,11,5,0.571428571,75,1.0,0,0.922077922,0.325,2,8,8.125,1,0.75,0
8,3,0,18,18,4,7,11,5,0.571428571,75,1.0,0,0.922077922,0.325,2,8,8.125,1,0.75,1
8,3,0,16,18,4,5,11,5,0.571428571,75,1.0,0,0.922077922,0.325,2,8,8.125,1,0.75,0
5,3,0,7,17,10,1,6,5,2.0,69,0.0,0,0.98,0.466666667,2,6,12.8,1,0.8,1
4,3,0,4,12,2,0,4,2,0.777777778,58,0.0,1,0.777777778,0.4,1,2,12.75,1,0.5,0
4,3,0,3,12,2,0,3,2,0.75,79,0.0,0,0.777777778,0.4,1,2,17.75,1,0.5,0
3,4,0,4,10,0,0,4,3,0.0,55,0.0,0,0.962264151,0.666666667,1,1,17.0,1,0.6667,0
3,4,0,4,10,0,0,4,3,0.0,55,0.0,0,0.962264151,0.666666667,1,1,17.0,1,0.6667,0
6,1,0,7,22,3,1,6,6,0.75,111,1.0,2,0.0,0.333333333,0,0,16.83333333,1,0.8333,1
2,1,0,1,7,1,0,1,2,2.0,26,0.0,0,0.0,0.75,0,0,12.0,1,0.5,0
2,1,0,1,7,1,0,1,2,2.0,26,0.0,0,0.0,0.75,0,0,12.0,1,0.5,1
2,1,0,1,7,1,0,1,2,2.0,26,0.0,0,0.0,0.75,0,0,12.0,1,0.5,0
2,1,0,1,10,1,1,0,2,2.0,34,0.0,0,0.0,0.5,0,0,16.0,4,2.0,0
4,1,0,1,6,6,1,0,3,2.0,87,0.0,0,0.0,0.416666667,0,0,20.75,2,1.0,0
3,1,0,0,14,3,0,0,2,2.0,102,0.0,0,0.0,0.333333333,0,0,33.0,1,0.6667,0
3,1,0,0,14,3,0,0,2,2.0,102,0.0,0,0.0,0.333333333,0,0,33.0,1,0.6667,0
3,1,0,0,14,3,0,0,2,2.0,102,0.0,0,0.0,0.333333333,0,0,33.0,1,0.6667,1
3,1,0,2,15,3,2,0,2,2.0,91,0.0,0,0.0,0.444444444,0,0,29.33333333,7,3.3333,1
5,2,2,5,17,2,4,1,2,0.625,95,0.333333333,0,0.938461538,0.466666667,1,1,16.8,3,1.4,1
5,2,0,2,8,8,2,0,3,0.5,90,0.0,0,0.714285714,0.45,1,2,16.4,3,1.2,0
2,1,0,1,6,1,0,1,0,2.0,25,0.0,0,0.0,0.5,0,0,11.5,1,0.5,0
4,2,0,3,7,4,2,1,2,0.944444444,78,0.166666667,6,0.857142857,0.444444444,1,1,17.0,1,0.5,0
4,2,0,4,7,4,3,1,2,0.916666667,56,0.25,4,0.857142857,0.444444444,1,1,12.0,1,0.5,0
4,2,0,4,7,4,3,1,2,0.916666667,56,0.25,4,0.857142857,0.444444444,1,1,12.0,1,0.5,0
4,2,0,4,7,4,3,1,2,0.916666667,56,0.25,4,0.857142857,0.444444444,1,1,12.0,1,0.5,0
4,2,0,4,7,4,3,1,2,0.916666667,56,0.25,4,0.857142857,0.444444444,1,1,12.0,1,0.5,0
4,3,0,6,16,0,1,6,1,0.666666667,82,0.5,0,0.96,0.5,2,8,19.0,3,1.25,1
5,3,0,5,13,0,1,5,1,0.75,59,0.5,0,0.921568627,0.466666667,2,6,10.4,1,0.8,1
3,3,0,5,10,0,1,5,1,0.75,55,0.5,0,0.961538462,0.555555556,2,6,16.66666667,1,0.6667,0
4,1,0,10,4,6,9,1,4,2.0,4,0.0,0,0.0,0.55,0,0,0.0,1,1.0,1
5,2,0,9,21,0,1,8,3,0.25,84,1.0,2,0.636363636,0.4,1,1,15.4,1,0.8,0
3,3,0,4,10,0,1,4,1,0.75,50,0.5,0,0.961538462,0.555555556,2,3,15.0,1,0.6667,1
4,3,0,4,12,0,1,4,1,0.666666667,58,0.5,0,0.952380952,0.5,2,7,13.0,2,1.0,1
2,1,0,3,8,1,0,3,2,2.0,27,0.0,0,0.0,0.5,0,0,12.5,1,0.5,0
11,2,0,5,21,49,2,3,9,0.85,112,0.5,0,0.578947368,0.418181818,1,6,9.0,2,0.9091,0
2,1,0,6,8,1,0,6,2,2.0,28,0.0,0,0.0,0.5,0,0,13.0,1,0.5,1
2,1,0,6,8,1,0,6,2,2.0,28,0.0,0,0.0,0.5,0,0,13.0,1,0.5,1
2,1,0,6,8,1,0,6,2,2.0,28,0.0,0,0.0,0.5,0,0,13.0,1,0.5,1
3,1,0,13,3,3,11,2,3,2.0,3,0.0,0,0.0,0.833333333,0,0,0.0,1,1.0,0
1,1,0,1,2,0,1,0,1,2.0,17,0.0,1,0.0,1.0,0,0,12.0,0,0.0,1
4,1,0,9,4,6,9,0,4,2.0,4,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,0
2,1,0,11,2,1,11,0,2,2.0,2,0.0,0,0.0,0.833333333,0,0,0.0,1,1.0,0
1,1,0,1,2,0,1,0,1,2.0,16,0.0,0,0.0,1.0,0,0,12.0,0,0.0,1
1,1,0,1,2,0,1,0,1,2.0,16,0.0,0,0.0,1.0,0,0,12.0,0,0.0,0
1,1,0,1,2,0,1,0,1,2.0,16,0.0,0,0.0,1.0,0,0,12.0,0,0.0,0
1,1,0,0,2,0,0,0,1,2.0,16,0.0,1,0.0,1.0,0,0,12.0,0,0.0,0
1,1,0,0,2,0,0,0,1,2.0,16,0.0,1,0.0,1.0,0,0,12.0,0,0.0,1
1,1,0,0,2,0,0,0,1,2.0,16,0.0,1,0.0,1.0,0,0,12.0,0,0.0,1
1,1,0,0,2,0,0,0,1,2.0,16,0.0,1,0.0,1.0,0,0,12.0,0,0.0,0
