$LOC_BLANK,$BRANCH_COUNT,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CYCLOMATIC_COMPLEXITY,$DESIGN_COMPLEXITY,$ESSENTIAL_COMPLEXITY,$LOC_EXECUTABLE,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$LOC_TOTAL,$>Defective
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.75,2.0,31.02,0.01,6.0,0.5,1.72,15.51,2.0,4.0,2.0,4.0,0.0,0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.75,2.0,31.02,0.01,6.0,0.5,1.72,15.51,2.0,4.0,2.0,4.0,0.0,0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.75,2.0,31.02,0.01,6.0,0.5,1.72,15.51,2.0,4.0,2.0,4.0,0.0,0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.75,2.0,31.02,0.01,6.0,0.5,1.72,15.51,2.0,4.0,2.0,4.0,0.0,0
0.0,3.0,0.0,0.0,2.0,1.0,1.0,3.0,5.07,8.75,388.32,0.01,14.0,0.11,21.57,44.38,5.0,9.0,2.0,7.0,3.0,0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.75,2.0,31.02,0.01,6.0,0.5,1.72,15.51,2.0,4.0,2.0,4.0,0.0,0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.75,2.0,31.02,0.01,6.0,0.5,1.72,15.51,2.0,4.0,2.0,4.0,0.0,0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.75,2.0,31.02,0.01,6.0,0.5,1.72,15.51,2.0,4.0,2.0,4.0,0.0,0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.75,2.0,31.02,0.01,6.0,0.5,1.72,15.51,2.0,4.0,2.0,4.0,0.0,0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,9.29,1.5,20.9,0.0,6.0,0.67,1.16,13.93,2.0,4.0,2.0,3.0,0.0,0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,9.29,1.5,20.9,0.0,6.0,0.67,1.16,13.93,2.0,4.0,2.0,3.0,0.0,0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,9.29,1.5,20.9,0.0,6.0,0.67,1.16,13.93,2.0,4.0,2.0,3.0,0.0,0
