$LOC_BLANK,$BRANCH_COUNT,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CYCLOMATIC_COMPLEXITY,$DESIGN_COMPLEXITY,$ESSENTIAL_COMPLEXITY,$LOC_EXECUTABLE,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$LOC_TOTAL,$>Defective
4.0,9.0,0.0,6.0,5.0,2.0,1.0,20.0,23.78,10.15,2451.96,0.08,52.0,0.1,136.22,241.48,22.0,30.0,13.0,12.0,34.0,0
1.0,7.0,0.0,1.0,4.0,1.0,4.0,14.0,18.59,14.25,3775.85,0.09,54.0,0.07,209.77,264.97,19.0,35.0,12.0,18.0,18.0,0
2.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,16.5,6.0,593.95,0.03,26.0,0.17,33.0,98.99,9.0,17.0,6.0,8.0,10.0,0
3.0,3.0,1.0,4.0,2.0,2.0,1.0,17.0,39.07,7.06,1946.71,0.09,58.0,0.14,108.15,275.78,24.0,34.0,17.0,10.0,18.0,0
4.0,7.0,0.0,5.0,4.0,3.0,1.0,16.0,29.2,6.68,1302.6,0.07,42.0,0.15,72.37,195.04,17.0,25.0,14.0,11.0,27.0,1
4.0,7.0,0.0,5.0,4.0,3.0,1.0,16.0,29.2,6.68,1302.6,0.07,42.0,0.15,72.37,195.04,17.0,25.0,14.0,11.0,27.0,1
4.0,7.0,0.0,5.0,4.0,3.0,1.0,16.0,29.2,6.68,1302.6,0.07,42.0,0.15,72.37,195.04,17.0,25.0,14.0,11.0,27.0,1
0.0,3.0,0.0,0.0,2.0,2.0,1.0,4.0,11.99,6.67,533.03,0.03,21.0,0.15,29.61,79.95,10.0,11.0,6.0,8.0,4.0,0
0.0,3.0,0.0,0.0,2.0,2.0,1.0,4.0,11.99,6.67,533.03,0.03,21.0,0.15,29.61,79.95,10.0,11.0,6.0,8.0,4.0,0
0.0,3.0,0.0,0.0,2.0,2.0,1.0,4.0,11.99,6.67,533.03,0.03,21.0,0.15,29.61,79.95,10.0,11.0,6.0,8.0,4.0,0
2.0,6.0,0.0,0.0,5.0,2.0,1.0,12.0,25.45,9.15,2132.75,0.08,49.0,0.11,118.49,232.99,17.0,32.0,13.0,14.0,12.0,0
2.0,6.0,0.0,0.0,5.0,2.0,1.0,12.0,25.45,9.15,2132.75,0.08,49.0,0.11,118.49,232.99,17.0,32.0,13.0,14.0,12.0,0
2.0,6.0,0.0,0.0,5.0,2.0,1.0,12.0,25.45,9.15,2132.75,0.08,49.0,0.11,118.49,232.99,17.0,32.0,13.0,14.0,12.0,0
3.0,5.0,0.0,0.0,3.0,2.0,3.0,16.0,21.03,12.12,3086.88,0.08,53.0,0.08,171.49,254.79,21.0,32.0,13.0,15.0,21.0,0
3.0,5.0,0.0,0.0,3.0,2.0,3.0,16.0,21.03,12.12,3086.88,0.08,53.0,0.08,171.49,254.79,21.0,32.0,13.0,15.0,21.0,0
3.0,5.0,0.0,0.0,3.0,2.0,3.0,16.0,21.03,12.12,3086.88,0.08,53.0,0.08,171.49,254.79,21.0,32.0,13.0,15.0,21.0,0
1.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,23.71,11.5,3135.19,0.09,58.0,0.09,174.18,272.63,23.0,35.0,13.0,13.0,12.0,0
4.0,5.0,0.0,0.0,3.0,2.0,1.0,13.0,20.35,12.38,3121.04,0.08,53.0,0.08,173.39,252.01,23.0,30.0,13.0,14.0,19.0,0
4.0,5.0,0.0,0.0,3.0,2.0,1.0,13.0,20.35,12.38,3121.04,0.08,53.0,0.08,173.39,252.01,23.0,30.0,13.0,14.0,19.0,0
4.0,5.0,0.0,0.0,3.0,2.0,1.0,13.0,20.35,12.38,3121.04,0.08,53.0,0.08,173.39,252.01,23.0,30.0,13.0,14.0,19.0,0
4.0,7.0,0.0,21.0,4.0,3.0,4.0,11.0,16.32,10.11,1668.32,0.05,37.0,0.1,92.68,165.0,14.0,23.0,9.0,13.0,11.0,0
4.0,7.0,0.0,21.0,4.0,3.0,4.0,11.0,16.32,10.11,1668.32,0.05,37.0,0.1,92.68,165.0,14.0,23.0,9.0,13.0,11.0,0
4.0,7.0,0.0,21.0,4.0,3.0,4.0,11.0,16.32,10.11,1668.32,0.05,37.0,0.1,92.68,165.0,14.0,23.0,9.0,13.0,11.0,0
4.0,7.0,0.0,21.0,4.0,3.0,4.0,11.0,16.32,10.11,1668.32,0.05,37.0,0.1,92.68,165.0,14.0,23.0,9.0,13.0,11.0,0
4.0,7.0,0.0,21.0,4.0,3.0,4.0,11.0,16.32,10.11,1668.32,0.05,37.0,0.1,92.68,165.0,14.0,23.0,9.0,13.0,11.0,0
4.0,7.0,0.0,21.0,4.0,3.0,4.0,11.0,16.32,10.11,1668.32,0.05,37.0,0.1,92.68,165.0,14.0,23.0,9.0,13.0,11.0,0
