$LOC_BLANK,$BRANCH_COUNT,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CYCLOMATIC_COMPLEXITY,$DESIGN_COMPLEXITY,$ESSENTIAL_COMPLEXITY,$LOC_EXECUTABLE,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$LOC_TOTAL,$>Defective
0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0
9.0,11.0,0.0,0.0,10.0,1.0,1.0,24.0,37.61,7.5,2115.83,0.09,55.0,0.13,117.55,282.11,20.0,35.0,20.0,15.0,35.0,0
9.0,11.0,0.0,0.0,10.0,1.0,1.0,24.0,37.61,7.5,2115.83,0.09,55.0,0.13,117.55,282.11,20.0,35.0,20.0,15.0,35.0,0
12.0,5.0,2.0,1.0,3.0,3.0,1.0,20.0,59.98,5.73,1968.9,0.11,67.0,0.17,109.38,343.66,25.0,42.0,24.0,11.0,35.0,0
9.0,11.0,0.0,0.0,10.0,1.0,1.0,24.0,36.28,7.37,1969.97,0.09,53.0,0.14,109.44,267.35,20.0,33.0,19.0,14.0,35.0,0
9.0,11.0,0.0,0.0,10.0,1.0,1.0,24.0,36.28,7.37,1969.97,0.09,53.0,0.14,109.44,267.35,20.0,33.0,19.0,14.0,35.0,0
9.0,11.0,0.0,0.0,10.0,1.0,1.0,24.0,36.28,7.37,1969.97,0.09,53.0,0.14,109.44,267.35,20.0,33.0,19.0,14.0,35.0,0
2.0,9.0,0.0,0.0,5.0,3.0,1.0,19.0,15.36,17.42,4659.42,0.09,54.0,0.06,258.86,267.53,22.0,32.0,12.0,19.0,23.0,1
1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,13.88,4.0,222.03,0.02,15.0,0.25,12.33,55.51,5.0,10.0,5.0,8.0,7.0,0
4.0,3.0,0.0,1.0,2.0,2.0,1.0,9.0,21.87,8.64,1631.15,0.06,43.0,0.12,90.62,188.87,19.0,24.0,11.0,10.0,19.0,1
5.0,7.0,0.0,0.0,4.0,3.0,4.0,25.0,30.61,17.33,9189.14,0.18,99.0,0.06,510.51,530.4,33.0,66.0,20.0,21.0,32.0,0
5.0,7.0,0.0,0.0,4.0,3.0,4.0,25.0,30.61,17.33,9189.14,0.18,99.0,0.06,510.51,530.4,33.0,66.0,20.0,21.0,32.0,0
5.0,7.0,0.0,0.0,4.0,3.0,4.0,25.0,30.61,17.33,9189.14,0.18,99.0,0.06,510.51,530.4,33.0,66.0,20.0,21.0,32.0,0
1.0,7.0,1.0,0.0,4.0,3.0,1.0,23.0,21.05,21.27,9526.62,0.15,99.0,0.05,529.26,447.83,39.0,60.0,11.0,12.0,27.0,0
1.0,13.0,0.0,0.0,7.0,5.0,1.0,27.0,24.49,19.0,8841.53,0.16,99.0,0.05,491.2,465.34,38.0,61.0,13.0,13.0,30.0,0
1.0,13.0,0.0,0.0,7.0,5.0,1.0,27.0,24.49,19.0,8841.53,0.16,99.0,0.05,491.2,465.34,38.0,61.0,13.0,13.0,30.0,0
1.0,13.0,0.0,0.0,7.0,5.0,1.0,27.0,24.49,19.0,8841.53,0.16,99.0,0.05,491.2,465.34,38.0,61.0,13.0,13.0,30.0,0
2.0,11.0,0.0,3.0,6.0,6.0,1.0,37.0,29.79,17.87,9519.28,0.18,112.0,0.06,528.85,532.55,52.0,60.0,16.0,11.0,44.0,0
2.0,11.0,0.0,3.0,6.0,6.0,1.0,37.0,29.79,17.87,9519.28,0.18,112.0,0.06,528.85,532.55,52.0,60.0,16.0,11.0,44.0,0
2.0,11.0,0.0,3.0,6.0,6.0,1.0,37.0,29.79,17.87,9519.28,0.18,112.0,0.06,528.85,532.55,52.0,60.0,16.0,11.0,44.0,0
1.0,7.0,1.0,0.0,4.0,3.0,1.0,23.0,21.05,21.27,9526.62,0.15,99.0,0.05,529.26,447.83,39.0,60.0,11.0,12.0,27.0,0
33.0,9.0,0.0,2.0,5.0,1.0,1.0,21.0,13.8,13.33,2453.33,0.06,46.0,0.08,136.3,184.0,16.0,30.0,6.0,10.0,58.0,0
33.0,9.0,0.0,2.0,5.0,1.0,1.0,21.0,13.8,13.33,2453.33,0.06,46.0,0.08,136.3,184.0,16.0,30.0,6.0,10.0,58.0,0
33.0,9.0,0.0,2.0,5.0,1.0,1.0,21.0,13.8,13.33,2453.33,0.06,46.0,0.08,136.3,184.0,16.0,30.0,6.0,10.0,58.0,0
6.0,11.0,0.0,0.0,6.0,5.0,1.0,28.0,26.74,17.26,7969.29,0.15,90.0,0.06,442.74,461.64,41.0,49.0,19.0,16.0,37.0,1
6.0,11.0,0.0,0.0,6.0,5.0,1.0,28.0,26.74,17.26,7969.29,0.15,90.0,0.06,442.74,461.64,41.0,49.0,19.0,16.0,37.0,1
6.0,11.0,0.0,0.0,6.0,5.0,1.0,28.0,26.74,17.26,7969.29,0.15,90.0,0.06,442.74,461.64,41.0,49.0,19.0,16.0,37.0,1
21.0,9.0,2.0,10.0,5.0,4.0,4.0,17.0,29.06,9.63,2692.04,0.09,57.0,0.1,149.56,279.69,22.0,35.0,16.0,14.0,52.0,1
21.0,9.0,2.0,10.0,5.0,4.0,4.0,17.0,29.06,9.63,2692.04,0.09,57.0,0.1,149.56,279.69,22.0,35.0,16.0,14.0,52.0,1
21.0,9.0,2.0,10.0,5.0,4.0,4.0,17.0,29.06,9.63,2692.04,0.09,57.0,0.1,149.56,279.69,22.0,35.0,16.0,14.0,52.0,1
16.0,4.0,1.0,3.0,3.0,3.0,1.0,22.0,28.71,10.08,2919.21,0.1,64.0,0.1,162.18,289.51,22.0,42.0,12.0,11.0,48.0,0
3.0,3.0,2.0,1.0,2.0,1.0,1.0,9.0,24.7,7.22,1288.28,0.06,40.0,0.14,71.57,178.38,10.0,30.0,9.0,13.0,11.0,0
2.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,12.0,2.5,75.0,0.01,10.0,0.4,4.17,30.0,3.0,7.0,3.0,5.0,8.0,0
2.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,12.0,2.5,75.0,0.01,10.0,0.4,4.17,30.0,3.0,7.0,3.0,5.0,8.0,0
2.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,12.0,2.5,75.0,0.01,10.0,0.4,4.17,30.0,3.0,7.0,3.0,5.0,8.0,0
3.0,3.0,2.0,1.0,2.0,1.0,1.0,9.0,24.7,7.22,1288.28,0.06,40.0,0.14,71.57,178.38,10.0,30.0,9.0,13.0,11.0,0
2.0,3.0,0.0,0.0,2.0,2.0,1.0,4.0,8.98,2.5,56.15,0.01,8.0,0.4,3.12,22.46,2.0,6.0,2.0,5.0,8.0,0
2.0,3.0,0.0,0.0,2.0,2.0,1.0,4.0,8.98,2.5,56.15,0.01,8.0,0.4,3.12,22.46,2.0,6.0,2.0,5.0,8.0,0
2.0,3.0,0.0,0.0,2.0,2.0,1.0,4.0,8.98,2.5,56.15,0.01,8.0,0.4,3.12,22.46,2.0,6.0,2.0,5.0,8.0,0
1.0,3.0,0.0,0.0,2.0,2.0,1.0,13.0,51.57,3.91,789.15,0.07,44.0,0.26,43.84,201.74,19.0,25.0,17.0,7.0,16.0,0
3.0,3.0,2.0,1.0,2.0,1.0,1.0,9.0,24.7,7.22,1288.28,0.06,40.0,0.14,71.57,178.38,10.0,30.0,9.0,13.0,11.0,0
3.0,11.0,0.0,0.0,6.0,3.0,4.0,20.0,23.43,19.94,9312.12,0.16,89.0,0.05,517.34,467.07,29.0,60.0,16.0,22.0,25.0,0
3.0,11.0,0.0,0.0,6.0,3.0,4.0,20.0,23.43,19.94,9312.12,0.16,89.0,0.05,517.34,467.07,29.0,60.0,16.0,22.0,25.0,0
0.0,7.0,0.0,0.0,5.0,4.0,3.0,23.0,29.4,14.39,6090.84,0.14,89.0,0.07,338.38,423.18,31.0,58.0,14.0,13.0,23.0,0
0.0,7.0,0.0,0.0,5.0,4.0,3.0,23.0,29.4,14.39,6090.84,0.14,89.0,0.07,338.38,423.18,31.0,58.0,14.0,13.0,23.0,0
1.0,7.0,0.0,0.0,4.0,3.0,4.0,20.0,30.6,13.24,5360.29,0.14,81.0,0.08,297.79,405.0,30.0,51.0,17.0,15.0,24.0,0
1.0,7.0,0.0,0.0,4.0,3.0,4.0,20.0,30.6,13.24,5360.29,0.14,81.0,0.08,297.79,405.0,30.0,51.0,17.0,15.0,24.0,0
1.0,7.0,0.0,0.0,4.0,3.0,4.0,20.0,30.6,13.24,5360.29,0.14,81.0,0.08,297.79,405.0,30.0,51.0,17.0,15.0,24.0,0
2.0,7.0,0.0,1.0,4.0,3.0,4.0,21.0,27.74,13.42,4995.78,0.12,72.0,0.07,277.54,372.23,30.0,42.0,19.0,17.0,26.0,0
2.0,7.0,0.0,1.0,4.0,3.0,4.0,21.0,27.74,13.42,4995.78,0.12,72.0,0.07,277.54,372.23,30.0,42.0,19.0,17.0,26.0,0
2.0,7.0,0.0,1.0,4.0,3.0,4.0,21.0,27.74,13.42,4995.78,0.12,72.0,0.07,277.54,372.23,30.0,42.0,19.0,17.0,26.0,0
2.0,9.0,0.0,0.0,5.0,3.0,5.0,21.0,15.51,16.36,4153.47,0.08,54.0,0.06,230.75,253.82,24.0,30.0,11.0,15.0,25.0,0
2.0,9.0,0.0,0.0,5.0,3.0,5.0,21.0,15.51,16.36,4153.47,0.08,54.0,0.06,230.75,253.82,24.0,30.0,11.0,15.0,25.0,0
5.0,7.0,0.0,3.0,4.0,4.0,4.0,14.0,28.57,14.0,5600.0,0.13,80.0,0.07,311.11,400.0,36.0,44.0,18.0,14.0,24.0,0
5.0,7.0,0.0,3.0,4.0,4.0,4.0,14.0,28.57,14.0,5600.0,0.13,80.0,0.07,311.11,400.0,36.0,44.0,18.0,14.0,24.0,0
5.0,7.0,0.0,3.0,4.0,4.0,4.0,14.0,28.57,14.0,5600.0,0.13,80.0,0.07,311.11,400.0,36.0,44.0,18.0,14.0,24.0,0
4.0,9.0,0.0,6.0,5.0,3.0,5.0,15.0,26.04,12.0,3749.74,0.1,65.0,0.08,208.32,312.48,32.0,33.0,16.0,12.0,15.0,0
4.0,9.0,0.0,6.0,5.0,3.0,5.0,15.0,26.04,12.0,3749.74,0.1,65.0,0.08,208.32,312.48,32.0,33.0,16.0,12.0,15.0,0
4.0,9.0,0.0,6.0,5.0,3.0,5.0,15.0,26.04,12.0,3749.74,0.1,65.0,0.08,208.32,312.48,32.0,33.0,16.0,12.0,15.0,0
6.0,5.0,0.0,1.0,3.0,3.0,1.0,17.0,14.61,24.73,8935.73,0.12,76.0,0.04,496.43,361.37,34.0,42.0,11.0,16.0,28.0,0
6.0,5.0,0.0,1.0,3.0,3.0,1.0,17.0,14.61,24.73,8935.73,0.12,76.0,0.04,496.43,361.37,34.0,42.0,11.0,16.0,28.0,0
6.0,5.0,0.0,1.0,3.0,3.0,1.0,17.0,14.61,24.73,8935.73,0.12,76.0,0.04,496.43,361.37,34.0,42.0,11.0,16.0,28.0,0
1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,10.63,3.75,149.49,0.01,12.0,0.27,8.3,39.86,5.0,7.0,4.0,6.0,7.0,0
2.0,9.0,0.0,0.0,5.0,3.0,1.0,19.0,15.36,17.42,4659.42,0.09,54.0,0.06,258.86,267.53,22.0,32.0,12.0,19.0,23.0,1
0.0,9.0,0.0,0.0,5.0,3.0,5.0,14.0,21.8,9.0,1765.93,0.07,44.0,0.11,98.11,196.21,18.0,26.0,11.0,11.0,16.0,0
0.0,9.0,0.0,0.0,5.0,3.0,5.0,14.0,21.8,9.0,1765.93,0.07,44.0,0.11,98.11,196.21,18.0,26.0,11.0,11.0,16.0,0
0.0,9.0,0.0,0.0,5.0,3.0,5.0,14.0,21.8,9.0,1765.93,0.07,44.0,0.11,98.11,196.21,18.0,26.0,11.0,11.0,16.0,0
2.0,10.0,0.0,0.0,7.0,6.0,1.0,35.0,44.76,14.1,8898.52,0.21,113.0,0.07,494.36,631.1,47.0,66.0,30.0,18.0,40.0,0
1.0,7.0,0.0,0.0,4.0,3.0,4.0,18.0,21.04,8.5,1519.92,0.06,39.0,0.12,84.44,178.81,17.0,22.0,12.0,12.0,21.0,0
1.0,7.0,0.0,0.0,4.0,3.0,4.0,18.0,21.04,8.5,1519.92,0.06,39.0,0.12,84.44,178.81,17.0,22.0,12.0,12.0,21.0,0
1.0,7.0,0.0,0.0,4.0,3.0,4.0,18.0,21.04,8.5,1519.92,0.06,39.0,0.12,84.44,178.81,17.0,22.0,12.0,12.0,21.0,0
2.0,6.0,0.0,0.0,4.0,3.0,3.0,13.0,28.67,7.0,1404.72,0.07,45.0,0.14,78.04,200.67,14.0,31.0,11.0,11.0,13.0,0
4.0,9.0,0.0,0.0,5.0,5.0,3.0,16.0,25.66,19.59,9846.41,0.17,98.0,0.05,547.02,502.67,37.0,61.0,17.0,18.0,22.0,0
3.0,9.0,0.0,0.0,5.0,2.0,5.0,12.0,11.96,20.19,4874.89,0.08,52.0,0.05,270.83,241.48,19.0,33.0,8.0,17.0,17.0,0
2.0,7.0,0.0,0.0,4.0,4.0,3.0,20.0,21.35,25.07,13412.0,0.18,108.0,0.04,745.11,535.05,47.0,61.0,15.0,16.0,22.0,0
3.0,9.0,0.0,1.0,5.0,1.0,3.0,25.0,15.59,21.75,7373.28,0.11,73.0,0.05,409.63,339.0,29.0,44.0,10.0,15.0,32.0,0
3.0,9.0,0.0,1.0,5.0,1.0,3.0,25.0,15.59,21.75,7373.28,0.11,73.0,0.05,409.63,339.0,29.0,44.0,10.0,15.0,32.0,0
1.0,11.0,0.0,0.0,6.0,3.0,3.0,19.0,19.21,15.17,4419.98,0.1,62.0,0.07,245.55,291.43,26.0,36.0,12.0,14.0,23.0,0
2.0,7.0,0.0,6.0,4.0,1.0,3.0,17.0,11.37,25.0,7106.69,0.09,62.0,0.04,394.82,284.27,25.0,37.0,8.0,16.0,27.0,0
2.0,7.0,0.0,6.0,4.0,1.0,3.0,17.0,11.37,25.0,7106.69,0.09,62.0,0.04,394.82,284.27,25.0,37.0,8.0,16.0,27.0,0
2.0,7.0,0.0,6.0,4.0,1.0,3.0,17.0,11.37,25.0,7106.69,0.09,62.0,0.04,394.82,284.27,25.0,37.0,8.0,16.0,27.0,0
5.0,11.0,0.0,3.0,6.0,3.0,1.0,16.0,12.01,28.79,9952.78,0.12,80.0,0.03,552.93,345.75,31.0,49.0,7.0,13.0,26.0,0
2.0,9.0,0.0,0.0,5.0,3.0,5.0,21.0,15.51,16.36,4153.47,0.08,54.0,0.06,230.75,253.82,24.0,30.0,11.0,15.0,25.0,0
6.0,13.0,1.0,3.0,7.0,2.0,5.0,35.0,29.18,20.5,12264.41,0.2,114.0,0.05,681.36,598.26,41.0,73.0,19.0,19.0,49.0,0
3.0,9.0,0.0,7.0,5.0,3.0,5.0,14.0,21.83,13.71,4104.96,0.1,61.0,0.07,228.05,299.32,24.0,37.0,14.0,16.0,26.0,0
6.0,5.0,0.0,3.0,3.0,3.0,3.0,14.0,34.89,8.75,2670.92,0.1,60.0,0.11,148.38,305.25,25.0,35.0,20.0,14.0,25.0,0
2.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,23.25,2.0,93.01,0.02,14.0,0.5,5.17,46.51,6.0,8.0,6.0,4.0,8.0,1
5.0,45.0,1.0,6.0,23.0,23.0,23.0,41.0,104.29,6.4,4271.56,0.22,123.0,0.16,237.31,667.43,56.0,67.0,35.0,8.0,42.0,0
5.0,45.0,1.0,6.0,23.0,23.0,23.0,41.0,104.29,6.4,4271.56,0.22,123.0,0.16,237.31,667.43,56.0,67.0,35.0,8.0,42.0,0
5.0,45.0,1.0,6.0,23.0,23.0,23.0,41.0,104.29,6.4,4271.56,0.22,123.0,0.16,237.31,667.43,56.0,67.0,35.0,8.0,42.0,0
2.0,5.0,1.0,0.0,3.0,2.0,1.0,24.0,28.42,17.68,8889.32,0.17,98.0,0.06,493.85,502.67,42.0,56.0,19.0,16.0,27.0,0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0
4.0,9.0,1.0,0.0,5.0,4.0,1.0,28.0,38.97,8.21,2627.37,0.11,64.0,0.12,145.96,320.0,24.0,40.0,19.0,13.0,35.0,1
4.0,9.0,1.0,0.0,5.0,4.0,1.0,28.0,38.97,8.21,2627.37,0.11,64.0,0.12,145.96,320.0,24.0,40.0,19.0,13.0,35.0,1
4.0,9.0,1.0,0.0,5.0,4.0,1.0,28.0,38.97,8.21,2627.37,0.11,64.0,0.12,145.96,320.0,24.0,40.0,19.0,13.0,35.0,1
2.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,23.25,2.0,93.01,0.02,14.0,0.5,5.17,46.51,6.0,8.0,6.0,4.0,8.0,1
2.0,3.0,0.0,6.0,2.0,2.0,1.0,19.0,18.55,11.0,2244.0,0.07,51.0,0.09,124.67,204.0,22.0,29.0,8.0,8.0,29.0,1
3.0,13.0,1.0,0.0,7.0,6.0,1.0,29.0,49.63,5.47,1484.29,0.09,60.0,0.18,82.46,271.41,25.0,35.0,16.0,7.0,35.0,0
3.0,13.0,1.0,0.0,7.0,6.0,1.0,29.0,49.63,5.47,1484.29,0.09,60.0,0.18,82.46,271.41,25.0,35.0,16.0,7.0,35.0,0
3.0,13.0,1.0,0.0,7.0,6.0,1.0,29.0,49.63,5.47,1484.29,0.09,60.0,0.18,82.46,271.41,25.0,35.0,16.0,7.0,35.0,0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
2.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,23.25,2.0,93.01,0.02,14.0,0.5,5.17,46.51,6.0,8.0,6.0,4.0,8.0,1
5.0,7.0,1.0,1.0,4.0,2.0,1.0,16.0,24.97,20.38,10375.62,0.17,97.0,0.05,576.42,509.05,33.0,64.0,17.0,21.0,17.0,0
3.0,9.0,0.0,7.0,5.0,3.0,5.0,14.0,21.83,13.71,4104.96,0.1,61.0,0.07,228.05,299.32,24.0,37.0,14.0,16.0,26.0,0
3.0,9.0,0.0,7.0,5.0,3.0,5.0,14.0,21.83,13.71,4104.96,0.1,61.0,0.07,228.05,299.32,24.0,37.0,14.0,16.0,26.0,0
4.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,31.26,3.0,281.3,0.03,24.0,0.33,15.63,93.77,12.0,12.0,10.0,5.0,13.0,0
4.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,31.26,3.0,281.3,0.03,24.0,0.33,15.63,93.77,12.0,12.0,10.0,5.0,13.0,0
4.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,31.26,3.0,281.3,0.03,24.0,0.33,15.63,93.77,12.0,12.0,10.0,5.0,13.0,0
7.0,1.0,0.0,7.0,1.0,1.0,1.0,9.0,51.98,2.0,207.93,0.03,29.0,0.5,11.55,103.96,12.0,17.0,9.0,3.0,25.0,0
7.0,1.0,0.0,7.0,1.0,1.0,1.0,9.0,51.98,2.0,207.93,0.03,29.0,0.5,11.55,103.96,12.0,17.0,9.0,3.0,25.0,0
7.0,1.0,0.0,7.0,1.0,1.0,1.0,9.0,51.98,2.0,207.93,0.03,29.0,0.5,11.55,103.96,12.0,17.0,9.0,3.0,25.0,0
1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,14.34,4.0,229.44,0.02,16.0,0.25,12.75,57.36,4.0,12.0,4.0,8.0,7.0,0
1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,14.34,4.0,229.44,0.02,16.0,0.25,12.75,57.36,4.0,12.0,4.0,8.0,7.0,0
2.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,23.25,2.0,93.01,0.02,14.0,0.5,5.17,46.51,6.0,8.0,6.0,4.0,8.0,1
1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,14.34,4.0,229.44,0.02,16.0,0.25,12.75,57.36,4.0,12.0,4.0,8.0,7.0,0
1.0,3.0,0.0,0.0,2.0,2.0,1.0,13.0,51.57,3.91,789.15,0.07,44.0,0.26,43.84,201.74,19.0,25.0,17.0,7.0,16.0,0
3.0,11.0,0.0,0.0,6.0,5.0,3.0,23.0,50.74,5.21,1377.69,0.09,55.0,0.19,76.54,264.4,22.0,33.0,19.0,9.0,28.0,0
0.0,13.0,0.0,1.0,7.0,7.0,1.0,26.0,50.38,4.38,968.53,0.07,52.0,0.23,53.81,220.89,19.0,33.0,13.0,6.0,29.0,0
0.0,13.0,0.0,1.0,7.0,7.0,1.0,26.0,50.38,4.38,968.53,0.07,52.0,0.23,53.81,220.89,19.0,33.0,13.0,6.0,29.0,0
0.0,13.0,0.0,1.0,7.0,7.0,1.0,26.0,50.38,4.38,968.53,0.07,52.0,0.23,53.81,220.89,19.0,33.0,13.0,6.0,29.0,0
0.0,13.0,0.0,0.0,7.0,7.0,1.0,13.0,41.18,5.14,1089.13,0.07,49.0,0.19,60.51,211.77,24.0,25.0,14.0,6.0,15.0,0
5.0,5.0,0.0,1.0,3.0,3.0,1.0,35.0,26.55,17.0,7674.38,0.15,92.0,0.06,426.35,451.43,34.0,58.0,15.0,15.0,44.0,0
0.0,11.0,0.0,2.0,6.0,6.0,1.0,10.0,51.96,4.32,971.34,0.07,49.0,0.23,53.96,224.66,21.0,28.0,17.0,7.0,10.0,0
0.0,11.0,0.0,2.0,6.0,6.0,1.0,10.0,51.96,4.32,971.34,0.07,49.0,0.23,53.96,224.66,21.0,28.0,17.0,7.0,10.0,0
0.0,11.0,0.0,2.0,6.0,6.0,1.0,10.0,51.96,4.32,971.34,0.07,49.0,0.23,53.96,224.66,21.0,28.0,17.0,7.0,10.0,0
0.0,11.0,0.0,0.0,6.0,1.0,1.0,13.0,46.91,4.0,750.59,0.06,45.0,0.25,41.7,187.65,16.0,29.0,12.0,6.0,15.0,0
0.0,11.0,0.0,0.0,6.0,1.0,1.0,13.0,46.91,4.0,750.59,0.06,45.0,0.25,41.7,187.65,16.0,29.0,12.0,6.0,15.0,0
0.0,11.0,0.0,0.0,6.0,1.0,1.0,13.0,46.91,4.0,750.59,0.06,45.0,0.25,41.7,187.65,16.0,29.0,12.0,6.0,15.0,0
