$LOC_BLANK,$BRANCH_COUNT,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CYCLOMATIC_COMPLEXITY,$DESIGN_COMPLEXITY,$ESSENTIAL_COMPLEXITY,$LOC_EXECUTABLE,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$LOC_TOTAL,$>Defective
4.0,7.0,1.0,1.0,4.0,2.0,1.0,11.0,10.99,16.88,3129.74,0.06,41.0,0.06,173.87,185.47,18.0,23.0,8.0,15.0,19.0,0
4.0,7.0,1.0,1.0,4.0,2.0,1.0,11.0,10.99,16.88,3129.74,0.06,41.0,0.06,173.87,185.47,18.0,23.0,8.0,15.0,19.0,0
4.0,7.0,1.0,1.0,4.0,2.0,1.0,11.0,10.99,16.88,3129.74,0.06,41.0,0.06,173.87,185.47,18.0,23.0,8.0,15.0,19.0,0
0.0,5.0,0.0,4.0,3.0,1.0,1.0,13.0,13.11,9.0,1062.25,0.04,31.0,0.11,59.01,118.03,10.0,21.0,5.0,9.0,20.0,1
1.0,3.0,0.0,0.0,2.0,2.0,1.0,13.0,26.07,11.0,3154.0,0.1,61.0,0.09,175.22,286.73,22.0,39.0,13.0,13.0,16.0,0
1.0,3.0,0.0,0.0,2.0,2.0,1.0,13.0,26.07,11.0,3154.0,0.1,61.0,0.09,175.22,286.73,22.0,39.0,13.0,13.0,16.0,0
1.0,3.0,0.0,0.0,2.0,2.0,1.0,13.0,26.07,11.0,3154.0,0.1,61.0,0.09,175.22,286.73,22.0,39.0,13.0,13.0,16.0,0
2.0,5.0,0.0,0.0,3.0,2.0,1.0,9.0,21.56,8.82,1677.8,0.06,40.0,0.11,93.21,190.2,19.0,21.0,14.0,13.0,13.0,0
2.0,5.0,0.0,0.0,3.0,2.0,1.0,9.0,21.56,8.82,1677.8,0.06,40.0,0.11,93.21,190.2,19.0,21.0,14.0,13.0,13.0,0
2.0,5.0,0.0,0.0,3.0,2.0,1.0,9.0,21.56,8.82,1677.8,0.06,40.0,0.11,93.21,190.2,19.0,21.0,14.0,13.0,13.0,0
3.0,3.0,0.0,0.0,2.0,2.0,1.0,11.0,26.59,11.67,3619.34,0.1,66.0,0.09,201.07,310.23,20.0,46.0,12.0,14.0,16.0,0
3.0,3.0,0.0,0.0,2.0,2.0,1.0,11.0,26.59,11.67,3619.34,0.1,66.0,0.09,201.07,310.23,20.0,46.0,12.0,14.0,16.0,0
3.0,3.0,0.0,0.0,2.0,2.0,1.0,11.0,26.59,11.67,3619.34,0.1,66.0,0.09,201.07,310.23,20.0,46.0,12.0,14.0,16.0,0
4.0,3.0,0.0,0.0,2.0,2.0,1.0,12.0,25.27,12.83,4162.24,0.11,69.0,0.08,231.24,324.33,22.0,47.0,12.0,14.0,18.0,0
3.0,5.0,0.0,2.0,3.0,3.0,1.0,16.0,39.78,6.19,1522.89,0.08,53.0,0.16,84.61,246.12,22.0,31.0,16.0,9.0,16.0,0
1.0,3.0,0.0,1.0,2.0,2.0,1.0,9.0,25.29,11.85,3548.61,0.1,63.0,0.08,197.14,299.56,22.0,41.0,13.0,14.0,9.0,0
1.0,3.0,0.0,1.0,2.0,2.0,1.0,9.0,25.29,11.85,3548.61,0.1,63.0,0.08,197.14,299.56,22.0,41.0,13.0,14.0,9.0,0
4.0,5.0,0.0,4.0,3.0,3.0,1.0,15.0,43.59,6.0,1569.11,0.09,55.0,0.17,87.17,261.51,24.0,31.0,18.0,9.0,15.0,0
4.0,5.0,0.0,4.0,3.0,3.0,1.0,15.0,43.59,6.0,1569.11,0.09,55.0,0.17,87.17,261.51,24.0,31.0,18.0,9.0,15.0,0
4.0,5.0,0.0,4.0,3.0,3.0,1.0,15.0,43.59,6.0,1569.11,0.09,55.0,0.17,87.17,261.51,24.0,31.0,18.0,9.0,15.0,0
4.0,5.0,0.0,4.0,3.0,3.0,1.0,15.0,43.59,6.0,1569.11,0.09,55.0,0.17,87.17,261.51,24.0,31.0,18.0,9.0,15.0,0
4.0,5.0,0.0,4.0,3.0,3.0,1.0,15.0,43.59,6.0,1569.11,0.09,55.0,0.17,87.17,261.51,24.0,31.0,18.0,9.0,15.0,0
4.0,5.0,0.0,4.0,3.0,3.0,1.0,15.0,43.59,6.0,1569.11,0.09,55.0,0.17,87.17,261.51,24.0,31.0,18.0,9.0,15.0,0
4.0,5.0,0.0,4.0,3.0,3.0,1.0,15.0,43.59,6.0,1569.11,0.09,55.0,0.17,87.17,261.51,24.0,31.0,18.0,9.0,15.0,0
4.0,5.0,0.0,4.0,3.0,3.0,1.0,15.0,43.59,6.0,1569.11,0.09,55.0,0.17,87.17,261.51,24.0,31.0,18.0,9.0,15.0,0
4.0,5.0,0.0,4.0,3.0,3.0,1.0,15.0,43.59,6.0,1569.11,0.09,55.0,0.17,87.17,261.51,24.0,31.0,18.0,9.0,15.0,0
4.0,5.0,0.0,4.0,3.0,3.0,1.0,15.0,43.59,6.0,1569.11,0.09,55.0,0.17,87.17,261.51,24.0,31.0,18.0,9.0,15.0,0
8.0,10.0,0.0,0.0,9.0,1.0,1.0,22.0,32.75,7.41,1799.25,0.08,49.0,0.13,99.96,242.76,18.0,31.0,17.0,14.0,32.0,0
8.0,10.0,0.0,0.0,9.0,1.0,1.0,22.0,32.75,7.41,1799.25,0.08,49.0,0.13,99.96,242.76,18.0,31.0,17.0,14.0,32.0,0
0.0,5.0,0.0,5.0,3.0,2.0,3.0,16.0,24.32,7.64,1418.49,0.06,40.0,0.13,78.8,185.75,12.0,28.0,11.0,14.0,16.0,0
0.0,5.0,0.0,5.0,3.0,2.0,3.0,16.0,24.32,7.64,1418.49,0.06,40.0,0.13,78.8,185.75,12.0,28.0,11.0,14.0,16.0,0
8.0,10.0,0.0,0.0,9.0,1.0,1.0,22.0,32.75,7.41,1799.25,0.08,49.0,0.13,99.96,242.76,18.0,31.0,17.0,14.0,32.0,0
2.0,3.0,0.0,0.0,2.0,1.0,1.0,7.0,13.01,7.07,650.57,0.03,23.0,0.14,36.14,92.0,11.0,12.0,7.0,9.0,11.0,1
2.0,3.0,0.0,0.0,2.0,2.0,1.0,11.0,23.74,5.06,606.67,0.04,30.0,0.2,33.7,120.0,13.0,17.0,9.0,7.0,15.0,0
1.0,5.0,0.0,1.0,3.0,3.0,1.0,9.0,10.24,11.0,1238.47,0.04,27.0,0.09,68.8,112.59,11.0,16.0,6.0,12.0,13.0,0
4.0,5.0,0.0,0.0,3.0,3.0,1.0,18.0,36.33,5.12,950.66,0.06,43.0,0.2,52.81,185.84,19.0,24.0,13.0,7.0,24.0,0
0.0,6.0,0.0,0.0,5.0,2.0,1.0,19.0,29.25,7.68,1725.82,0.07,49.0,0.13,95.88,224.66,13.0,36.0,11.0,13.0,21.0,0
0.0,6.0,0.0,0.0,5.0,2.0,1.0,19.0,29.25,7.68,1725.82,0.07,49.0,0.13,95.88,224.66,13.0,36.0,11.0,13.0,21.0,0
0.0,6.0,0.0,0.0,5.0,2.0,1.0,19.0,29.25,7.68,1725.82,0.07,49.0,0.13,95.88,224.66,13.0,36.0,11.0,13.0,21.0,0
