1,2,3,4,5,6
ant,144.52142563,5.15795404583,9.13500415719,3.04690633663,4.42464070676
camel,102.105107488,5.95578536309,2.27771826041,5.69379020163,12.3292012794
ivy,62.9994712752,3.37717364563,8.31703852316,4.4915647072,33.9246930572
jedit,130.827850066,1,1.91331778693,7.73398091142,14.186087539
log4j,124.292323987,7.99310996504,6.3216857835,9.92968791928,9.93035081503
lucene,145.364548771,1,6.01483579662,9.8562473471,46.1459546324
poi,66.5980488411,24.4331184958,1,10,2
velocity,134.332719358,86.9739633854,4.74889468163,9.62690526561,35.6241950659
xalan,150,1,1,10,50
xerces,150,79.697904154,1,2,50
